Year,County,Yield_Value,Yield_Unit,PCT_PLANTED_April,PCT_PLANTED_July,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2021,LAVACA,7390,LB / ACRE,85.0,85.0,85.0,39.0,95.0
2009,LAVACA,6920,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,LAVACA,6530,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,LAVACA,6360,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,LAVACA,5640,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,LAVACA,6890,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,LAVACA,7050,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,LAVACA,5000,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,LAVACA,5560,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,LAVACA,5940,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,LAVACA,6470,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2019,OTHER (COMBINED) COUNTIES,8730,LB / ACRE,73.0,73.0,99.0,17.0,85.0
2018,OTHER (COMBINED) COUNTIES,9570,LB / ACRE,77.0,77.0,77.0,46.0,100.0
2017,OTHER (COMBINED) COUNTIES,7580,LB / ACRE,76.0,76.0,100.0,24.0,90.0
2016,OTHER (COMBINED) COUNTIES,7350,LB / ACRE,76.0,76.0,76.0,16.0,99.0
2015,OTHER (COMBINED) COUNTIES,6390,LB / ACRE,64.0,64.0,100.0,0.0,85.0
2014,OTHER (COMBINED) COUNTIES,7910,LB / ACRE,79.0,79.0,100.0,100.0,98.0
2013,OTHER (COMBINED) COUNTIES,7500,LB / ACRE,96.0,96.0,100.0,50.0,100.0
2012,OTHER (COMBINED) COUNTIES,8080,LB / ACRE,89.0,89.0,89.0,89.0,98.0
2011,OTHER (COMBINED) COUNTIES,6240,LB / ACRE,87.0,87.0,100.0,100.0,99.0
2010,OTHER (COMBINED) COUNTIES,7310,LB / ACRE,86.0,86.0,86.0,86.0,99.0
2009,OTHER (COMBINED) COUNTIES,7860,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,OTHER (COMBINED) COUNTIES,6000,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,OTHER (COMBINED) COUNTIES,4800,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,OTHER (COMBINED) COUNTIES,7310,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,OTHER (COMBINED) COUNTIES,9670,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,OTHER (COMBINED) COUNTIES,5770,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,OTHER (COMBINED) COUNTIES,6250,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,OTHER (COMBINED) COUNTIES,6320,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,OTHER (COMBINED) COUNTIES,8500,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,OTHER (COMBINED) COUNTIES,5470,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2023,BRAZORIA,6800,LB / ACRE,83.0,83.0,83.0,22.0,96.0
2019,BRAZORIA,8270,LB / ACRE,73.0,73.0,99.0,17.0,85.0
2018,BRAZORIA,6210,LB / ACRE,77.0,77.0,77.0,46.0,100.0
2017,BRAZORIA,6770,LB / ACRE,76.0,76.0,100.0,24.0,90.0
2016,BRAZORIA,7500,LB / ACRE,76.0,76.0,76.0,16.0,99.0
2015,BRAZORIA,5400,LB / ACRE,64.0,64.0,100.0,0.0,85.0
2013,BRAZORIA,8100,LB / ACRE,96.0,96.0,100.0,50.0,100.0
2012,BRAZORIA,10350,LB / ACRE,89.0,89.0,89.0,89.0,98.0
2010,BRAZORIA,6710,LB / ACRE,86.0,86.0,86.0,86.0,99.0
2009,BRAZORIA,6530,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,BRAZORIA,5530,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,BRAZORIA,5890,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,BRAZORIA,6950,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,BRAZORIA,6940,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,BRAZORIA,7010,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,BRAZORIA,7380,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,BRAZORIA,6770,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,BRAZORIA,7750,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,BRAZORIA,7820,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2014,CALHOUN,5940,LB / ACRE,79.0,79.0,100.0,100.0,98.0
2011,CALHOUN,6170,LB / ACRE,87.0,87.0,100.0,100.0,99.0
2010,CALHOUN,6910,LB / ACRE,86.0,86.0,86.0,86.0,99.0
2009,CALHOUN,7000,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,CALHOUN,5710,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,CALHOUN,3900,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,CALHOUN,6430,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,CALHOUN,3400,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,CALHOUN,4620,LB / ACRE,85.0,85.0,85.0,85.0,100.0
