year,county_name,Value
2020,DALLAM,200.7
2020,DEAF SMITH,155.2
2020,GRAY,179.1
2020,HALE,141.7
2020,HANSFORD,205.9
2020,HUTCHINSON,215.6
2020,MOORE,181.5
2020,OCHILTREE,200.7
2020,SHERMAN,205.0
2020,SWISHER,150.0
2020,HOCKLEY,83.0
2020,LAMB,137.6
2020,LYNN,67.6
2020,COLEMAN,28.0
2020,BELL,94.2
2020,COLLIN,89.6
2020,COOKE,77.0
2020,ELLIS,96.7
2020,FALLS,87.7
2020,FANNIN,88.3
2020,GRAYSON,72.6
2020,HILL,100.3
2020,JOHNSON,85.2
2020,LAMAR,80.3
2020,MCLENNAN,91.2
2020,MILAM,92.3
2020,NAVARRO,101.6
2020,WILLIAMSON,87.7
2020,WALLER,125.3
2020,GILLESPIE,81.2
2020,UVALDE,134.5
2020,AUSTIN,113.1
2020,BEE,69.2
2020,BEXAR,107.8
2020,BURLESON,120.8
2020,COLORADO,130.5
2020,DE WITT,93.8
2020,FAYETTE,90.9
2020,GUADALUPE,88.3
2020,HAYS,109.4
2020,KARNES,71.1
2020,LAVACA,100.4
2020,MEDINA,110.7
2020,KLEBERG,49.8
2020,NUECES,81.8
2020,REFUGIO,108.7
2020,SAN PATRICIO,75.2
2020,CALHOUN,118.2
2020,FORT BEND,158.1
2020,JACKSON,115.9
2020,MATAGORDA,113.9
2020,VICTORIA,91.2
2020,WHARTON,139.1
2020,ATASCOSA,68.2
2020,FRIO,143.7
2020,ZAVALA,152.6
2020,CAMERON,96.1
2020,HIDALGO,115.7
2020,WILLACY,72.4
2020,OTHER COUNTIES,137.0
