year,county_name,Value
2019,OTHER (COMBINED) COUNTIES,177.7
2019,CARSON,177.3
2019,DEAF SMITH,169.7
2019,FLOYD,130.6
2019,GRAY,141.1
2019,HANSFORD,182.4
2019,HARTLEY,213.9
2019,HUTCHINSON,178.6
2019,MOORE,192.3
2019,OCHILTREE,191.7
2019,RANDALL,176.9
2019,SHERMAN,198.8
2019,SWISHER,113.6
2019,OTHER (COMBINED) COUNTIES,70.6
2019,HOCKLEY,74.1
2019,LAMB,127.3
2019,LYNN,128.8
2019,OTHER (COMBINED) COUNTIES,79.1
2019,COLEMAN,63.2
2019,OTHER (COMBINED) COUNTIES,99.9
2019,BELL,105.8
2019,COLLIN,90.4
2019,COOKE,118.5
2019,ELLIS,81.0
2019,FANNIN,88.8
2019,GRAYSON,106.7
2019,HILL,107.7
2019,HUNT,88.9
2019,JOHNSON,80.0
2019,LAMAR,105.9
2019,LIMESTONE,103.5
2019,MCLENNAN,105.0
2019,MILAM,91.4
2019,NAVARRO,114.3
2019,WILLIAMSON,100.6
2019,OTHER (COMBINED) COUNTIES,113.8
2019,OTHER (COMBINED) COUNTIES,99.6
2019,CONCHO,116.7
2019,TOM GREEN,120.6
2019,UVALDE,154.3
2019,OTHER (COMBINED) COUNTIES,93.2
2019,AUSTIN,127.3
2019,BEE,87.3
2019,BEXAR,102.4
2019,BURLESON,82.7
2019,CALDWELL,113.2
2019,COLORADO,143.1
2019,FAYETTE,109.1
2019,GONZALES,117.6
2019,GUADALUPE,95.7
2019,HAYS,105.0
2019,LEE,129.0
2019,MEDINA,140.9
2019,TRAVIS,76.3
2019,WILSON,125.6
2019,OTHER (COMBINED) COUNTIES,93.8
2019,NUECES,99.9
2019,OTHER (COMBINED) COUNTIES,132.3
2019,CALHOUN,114.1
2019,JACKSON,110.6
2019,MATAGORDA,104.3
2019,VICTORIA,114.8
2019,WHARTON,120.1
2019,OTHER (COMBINED) COUNTIES,84.0
2019,CAMERON,80.6
2019,HIDALGO,111.1
