year,county_name,Value
2012,OTHER (COMBINED) COUNTIES,191.7
2012,CARSON,181.4
2012,CASTRO,196.0
2012,DALLAM,178.0
2012,DEAF SMITH,151.1
2012,FLOYD,144.6
2012,GRAY,197.3
2012,HALE,172.6
2012,HANSFORD,177.4
2012,HARTLEY,190.6
2012,HUTCHINSON,170.5
2012,MOORE,169.6
2012,PARMER,182.2
2012,POTTER,96.6
2012,RANDALL,127.6
2012,SHERMAN,199.1
2012,SWISHER,145.2
2012,OTHER (COMBINED) COUNTIES,110.9
2012,LAMB,161.2
2012,OTHER (COMBINED) COUNTIES,56.4
2012,RUNNELS,30.3
2012,OTHER (COMBINED) COUNTIES,31.5
2012,BELL,81.2
2012,COLLIN,87.3
2012,COOKE,98.3
2012,CORYELL,69.4
2012,DENTON,36.4
2012,ELLIS,97.9
2012,FALLS,94.9
2012,FANNIN,90.7
2012,GRAYSON,89.4
2012,HILL,101.9
2012,HUNT,80.0
2012,JOHNSON,97.8
2012,LAMAR,115.0
2012,LIMESTONE,112.4
2012,MCLENNAN,90.1
2012,MILAM,82.3
2012,NAVARRO,137.6
2012,WILLIAMSON,84.4
2012,OTHER (COMBINED) COUNTIES,99.1
2012,WALLER,81.1
2012,OTHER (COMBINED) COUNTIES,104.3
2012,OTHER (COMBINED) COUNTIES,74.8
2012,GILLESPIE,92.1
2012,TOM GREEN,109.4
2012,UVALDE,140.1
2012,OTHER (COMBINED) COUNTIES,86.1
2012,AUSTIN,108.0
2012,BEE,52.9
2012,BEXAR,83.3
2012,BURLESON,102.9
2012,CALDWELL,96.9
2012,COLORADO,81.2
2012,DE WITT,80.8
2012,FAYETTE,73.2
2012,GOLIAD,55.0
2012,GONZALES,110.3
2012,GUADALUPE,78.2
2012,KARNES,49.1
2012,LAVACA,74.8
2012,MEDINA,119.7
2012,TRAVIS,72.8
2012,WILSON,104.6
2012,OTHER (COMBINED) COUNTIES,56.0
2012,SAN PATRICIO,64.3
2012,OTHER (COMBINED) COUNTIES,90.4
2012,BRAZORIA,118.8
2012,CALHOUN,73.7
2012,FORT BEND,102.1
2012,JACKSON,90.4
2012,MATAGORDA,104.6
2012,VICTORIA,88.5
2012,WHARTON,101.5
2012,OTHER (COMBINED) COUNTIES,33.1
2012,ATASCOSA,74.8
2012,FRIO,141.9
2012,JIM WELLS,33.1
2012,ZAVALA,147.0
2012,OTHER (COMBINED) COUNTIES,101.4
2012,HIDALGO,91.1
2012,OTHER (COMBINED) COUNTIES,161.6
2012,OTHER (COMBINED) COUNTIES,142.3
2012,LAMAR,126.9
2012,OTHER (COMBINED) COUNTIES,136.3
2012,OTHER (COMBINED) COUNTIES,119.7
2012,UVALDE,151.8
2012,OTHER (COMBINED) COUNTIES,143.4
2012,BEE,75.6
2012,BEXAR,113.8
2012,MEDINA,154.4
2012,OTHER (COMBINED) COUNTIES,124.4
2012,WHARTON,125.4
2012,OTHER (COMBINED) COUNTIES,152.0
2012,OTHER (COMBINED) COUNTIES,96.8
2012,OTHER (COMBINED) COUNTIES,22.3
2012,OTHER (COMBINED) COUNTIES,83.7
2012,COLLIN,87.3
2012,COOKE,98.3
2012,DENTON,36.4
2012,ELLIS,97.9
2012,GRAYSON,89.4
2012,HUNT,80.0
2012,JOHNSON,97.8
2012,LAMAR,113.2
2012,LIMESTONE,112.4
2012,NAVARRO,137.6
2012,WILLIAMSON,84.4
2012,OTHER (COMBINED) COUNTIES,64.2
2012,OTHER (COMBINED) COUNTIES,42.6
2012,GILLESPIE,92.1
2012,UVALDE,40.9
2012,OTHER (COMBINED) COUNTIES,81.2
2012,BEE,38.6
2012,BEXAR,68.1
2012,CALDWELL,96.9
2012,COLORADO,81.2
2012,DE WITT,80.8
2012,KARNES,49.1
2012,LAVACA,74.8
2012,MEDINA,51.2
2012,TRAVIS,72.8
2012,OTHER (COMBINED) COUNTIES,90.2
2012,MATAGORDA,104.6
2012,WHARTON,99.5
2012,OTHER (COMBINED) COUNTIES,22.1
2012,JIM WELLS,33.1
2012,OTHER (COMBINED) COUNTIES,87.7
