year,county_name,Value
2015,OTHER (COMBINED) COUNTIES,202.7
2015,ARMSTRONG,193.2
2015,BRISCOE,108.1
2015,CARSON,204.6
2015,CASTRO,205.7
2015,DALLAM,213.7
2015,DEAF SMITH,163.7
2015,FLOYD,148.5
2015,GRAY,193.5
2015,HALE,147.8
2015,MOORE,217.6
2015,OCHILTREE,196.6
2015,OLDHAM,187.1
2015,PARMER,147.4
2015,RANDALL,143.7
2015,SHERMAN,219.4
2015,SWISHER,155.0
2015,OTHER (COMBINED) COUNTIES,105.5
2015,COCHRAN,115.2
2015,HOCKLEY,120.6
2015,LAMB,148.1
2015,LUBBOCK,137.2
2015,TERRY,99.1
2015,OTHER (COMBINED) COUNTIES,57.3
2015,OTHER (COMBINED) COUNTIES,67.6
2015,BELL,63.2
2015,COLLIN,38.8
2015,COOKE,64.4
2015,ELLIS,54.9
2015,FALLS,73.5
2015,FANNIN,73.7
2015,GRAYSON,51.5
2015,HILL,64.5
2015,JOHNSON,48.7
2015,LAMAR,64.9
2015,LIMESTONE,34.3
2015,MCLENNAN,99.4
2015,MILAM,71.6
2015,NAVARRO,58.2
2015,WILLIAMSON,69.5
2015,OTHER (COMBINED) COUNTIES,98.0
2015,GILLESPIE,90.5
2015,UVALDE,121.8
2015,OTHER (COMBINED) COUNTIES,90.5
2015,BEE,84.3
2015,BEXAR,100.6
2015,BURLESON,96.1
2015,CALDWELL,111.9
2015,COLORADO,115.4
2015,DE WITT,56.0
2015,FAYETTE,77.8
2015,GOLIAD,58.5
2015,GUADALUPE,108.8
2015,KARNES,73.8
2015,MEDINA,122.4
2015,TRAVIS,50.5
2015,WILSON,101.4
2015,OTHER (COMBINED) COUNTIES,64.9
2015,NUECES,62.5
2015,SAN PATRICIO,83.5
2015,OTHER (COMBINED) COUNTIES,89.4
2015,CALHOUN,72.5
2015,JACKSON,83.1
2015,MATAGORDA,82.9
2015,VICTORIA,73.5
2015,WHARTON,103.3
2015,OTHER (COMBINED) COUNTIES,105.5
2015,ATASCOSA,60.9
2015,JIM WELLS,81.1
2015,OTHER (COMBINED) COUNTIES,87.6
2015,CAMERON,97.7
2015,OTHER (COMBINED) COUNTIES,208.3
2015,CASTRO,208.6
2015,DEAF SMITH,168.6
2015,HALE,154.2
2015,OLDHAM,187.1
2015,PARMER,161.3
2015,OTHER (COMBINED) COUNTIES,91.9
2015,OTHER (COMBINED) COUNTIES,101.0
2015,UVALDE,135.3
2015,OTHER (COMBINED) COUNTIES,111.5
2015,BURLESON,138.7
2015,MEDINA,141.4
2015,OTHER (COMBINED) COUNTIES,104.1
2015,OTHER (COMBINED) COUNTIES,129.2
2015,OTHER (COMBINED) COUNTIES,96.5
2015,CAMERON,100.5
2015,OTHER (COMBINED) COUNTIES,73.4
2015,CASTRO,53.2
2015,DEAF SMITH,96.9
2015,HALE,38.8
2015,PARMER,37.3
2015,OTHER (COMBINED) COUNTIES,73.9
2015,COLLIN,38.8
2015,COOKE,64.4
2015,ELLIS,54.9
2015,GRAYSON,51.5
2015,HILL,64.5
2015,JOHNSON,48.7
2015,LIMESTONE,34.3
2015,NAVARRO,58.2
2015,WILLIAMSON,69.5
2015,OTHER (COMBINED) COUNTIES,91.2
2015,UVALDE,94.2
2015,OTHER (COMBINED) COUNTIES,91.9
2015,BURLESON,77.0
2015,CALDWELL,111.9
2015,DE WITT,56.0
2015,MEDINA,107.7
2015,TRAVIS,50.5
2015,OTHER (COMBINED) COUNTIES,88.3
2015,MATAGORDA,82.9
2015,VICTORIA,73.5
2015,OTHER (COMBINED) COUNTIES,49.5
2015,JIM WELLS,81.1
2015,OTHER (COMBINED) COUNTIES,77.6
2015,CAMERON,68.5
