year,county_name,Value
2014,OTHER (COMBINED) COUNTIES,207.2
2014,ARMSTRONG,177.9
2014,CASTRO,218.1
2014,DALLAM,223.7
2014,DEAF SMITH,209.3
2014,FLOYD,165.7
2014,GRAY,212.1
2014,HALE,184.4
2014,HANSFORD,212.7
2014,HUTCHINSON,197.3
2014,MOORE,218.5
2014,OCHILTREE,210.1
2014,PARMER,212.4
2014,RANDALL,201.1
2014,SHERMAN,212.3
2014,SWISHER,181.9
2014,OTHER (COMBINED) COUNTIES,153.9
2014,BAILEY,150.5
2014,COCHRAN,120.0
2014,CROSBY,145.5
2014,HOCKLEY,130.5
2014,LAMB,177.0
2014,OTHER (COMBINED) COUNTIES,190.7
2014,OTHER (COMBINED) COUNTIES,146.0
2014,OTHER (COMBINED) COUNTIES,104.1
2014,OTHER (COMBINED) COUNTIES,111.4
2014,BELL,113.2
2014,COLLIN,120.8
2014,COOKE,75.0
2014,CORYELL,101.7
2014,DENTON,78.3
2014,ELLIS,107.7
2014,FALLS,118.0
2014,FANNIN,118.5
2014,GRAYSON,98.7
2014,HILL,113.0
2014,HUNT,116.9
2014,JOHNSON,68.9
2014,LAMAR,112.8
2014,LIMESTONE,81.0
2014,MCLENNAN,106.2
2014,MILAM,118.8
2014,NAVARRO,119.8
2014,WILLIAMSON,99.9
2014,OTHER (COMBINED) COUNTIES,106.2
2014,ROBERTSON,154.8
2014,WALLER,123.4
2014,OTHER (COMBINED) COUNTIES,109.0
2014,AUSTIN,105.6
2014,BASTROP,86.6
2014,BEE,55.6
2014,BEXAR,69.9
2014,CALDWELL,91.1
2014,COLORADO,115.9
2014,DE WITT,81.8
2014,FAYETTE,110.0
2014,GOLIAD,89.7
2014,GUADALUPE,54.7
2014,HAYS,81.9
2014,LAVACA,78.9
2014,LEE,94.2
2014,MEDINA,103.6
2014,TRAVIS,71.3
2014,WILSON,105.5
2014,OTHER (COMBINED) COUNTIES,49.2
2014,NUECES,56.6
2014,SAN PATRICIO,81.7
2014,OTHER (COMBINED) COUNTIES,114.3
2014,CALHOUN,77.8
2014,FORT BEND,127.7
2014,JACKSON,102.8
2014,MATAGORDA,107.4
2014,VICTORIA,102.6
2014,WHARTON,120.1
2014,OTHER (COMBINED) COUNTIES,84.3
2014,ATASCOSA,87.7
2014,FRIO,151.3
2014,JIM WELLS,38.8
2014,LIVE OAK,54.8
2014,ZAVALA,109.3
2014,OTHER (COMBINED) COUNTIES,138.5
2014,CAMERON,112.9
2014,HIDALGO,84.9
2014,OTHER (COMBINED) COUNTIES,151.6
2014,FANNIN,168.6
2014,LAMAR,172.9
2014,MILAM,178.8
2014,OTHER (COMBINED) COUNTIES,155.4
2014,OTHER (COMBINED) COUNTIES,152.6
2014,BEE,104.4
2014,BEXAR,130.6
2014,MEDINA,157.2
2014,OTHER (COMBINED) COUNTIES,151.8
2014,JACKSON,140.4
2014,OTHER (COMBINED) COUNTIES,146.6
2014,OTHER (COMBINED) COUNTIES,108.4
2014,COLLIN,120.8
2014,COOKE,75.0
2014,ELLIS,107.7
2014,FANNIN,108.3
2014,GRAYSON,98.7
2014,JOHNSON,68.9
2014,LAMAR,102.9
2014,LIMESTONE,81.0
2014,MILAM,116.1
2014,NAVARRO,119.8
2014,OTHER (COMBINED) COUNTIES,106.9
2014,OTHER (COMBINED) COUNTIES,83.9
2014,BASTROP,86.6
2014,BEE,44.7
2014,BEXAR,45.3
2014,CALDWELL,91.1
2014,FAYETTE,110.0
2014,HAYS,81.9
2014,LAVACA,78.9
2014,LEE,94.2
2014,MEDINA,34.5
2014,OTHER (COMBINED) COUNTIES,109.3
2014,JACKSON,101.7
2014,VICTORIA,102.6
2014,OTHER (COMBINED) COUNTIES,43.2
2014,JIM WELLS,38.8
