,year,state_alpha,county_name,Value,reference_period_desc
0,2005,TX,OTHER (COMBINED) COUNTIES,176.4,YEAR
1,2005,TX,BRISCOE,105.9,YEAR
2,2005,TX,CARSON,187.9,YEAR
3,2005,TX,CASTRO,205.4,YEAR
4,2005,TX,DALLAM,177.5,YEAR
5,2005,TX,DEAF SMITH,159.9,YEAR
6,2005,TX,FLOYD,162.3,YEAR
7,2005,TX,GRAY,176.8,YEAR
8,2005,TX,HALE,178.8,YEAR
9,2005,TX,HANSFORD,189.9,YEAR
10,2005,TX,HARTLEY,196.4,YEAR
11,2005,TX,HUTCHINSON,208.8,YEAR
12,2005,TX,LIPSCOMB,182.5,YEAR
13,2005,TX,MOORE,197.1,YEAR
14,2005,TX,OCHILTREE,229.4,YEAR
15,2005,TX,PARMER,184.8,YEAR
16,2005,TX,RANDALL,193.3,YEAR
17,2005,TX,ROBERTS,208.4,YEAR
18,2005,TX,SHERMAN,195.4,YEAR
19,2005,TX,SWISHER,186.4,YEAR
20,2005,TX,OTHER (COMBINED) COUNTIES,139.3,YEAR
21,2005,TX,BAILEY,224.1,YEAR
22,2005,TX,COCHRAN,198.5,YEAR
23,2005,TX,LAMB,186.3,YEAR
24,2005,TX,TERRY,121,YEAR
25,2005,TX,OTHER (COMBINED) COUNTIES,138,YEAR
26,2005,TX,DONLEY,141.8,YEAR
27,2005,TX,WICHITA,93.3,YEAR
28,2005,TX,WILBARGER,97,YEAR
29,2005,TX,OTHER (COMBINED) COUNTIES,115,YEAR
30,2005,TX,BELL,64,YEAR
31,2005,TX,BOSQUE,57.3,YEAR
32,2005,TX,COLLIN,60.4,YEAR
33,2005,TX,COOKE,60.3,YEAR
34,2005,TX,CORYELL,58.5,YEAR
35,2005,TX,DALLAS,44.5,YEAR
36,2005,TX,DELTA,76.2,YEAR
37,2005,TX,DENTON,38.9,YEAR
38,2005,TX,ELLIS,67.6,YEAR
39,2005,TX,FALLS,71.1,YEAR
40,2005,TX,FANNIN,74.6,YEAR
41,2005,TX,GRAYSON,62.2,YEAR
42,2005,TX,HAMILTON,95.3,YEAR
43,2005,TX,HILL,73.4,YEAR
44,2005,TX,HUNT,57.2,YEAR
45,2005,TX,JOHNSON,66.1,YEAR
46,2005,TX,KAUFMAN,66.5,YEAR
47,2005,TX,LAMAR,63.5,YEAR
48,2005,TX,LIMESTONE,57.9,YEAR
49,2005,TX,MCLENNAN,67.5,YEAR
50,2005,TX,MILAM,58.7,YEAR
51,2005,TX,NAVARRO,72.7,YEAR
52,2005,TX,ROCKWALL,39.5,YEAR
53,2005,TX,TARRANT,66.5,YEAR
54,2005,TX,WILLIAMSON,75.2,YEAR
55,2005,TX,OTHER (COMBINED) COUNTIES,62.3,YEAR
56,2005,TX,BOWIE,88,YEAR
57,2005,TX,HOPKINS,60.7,YEAR
58,2005,TX,HOUSTON,44.3,YEAR
59,2005,TX,RED RIVER,60.4,YEAR
60,2005,TX,OTHER (COMBINED) COUNTIES,60,YEAR
61,2005,TX,BRAZOS,93.7,YEAR
62,2005,TX,GRIMES,25.2,YEAR
