Year,County,Yield_Bu_Acre,February_End_Pct,March_End_Pct,April_End_Pct,May_End_Pct,June_End_Pct,July_End_Pct
2010,BURLESON,114.9,0.0,0.0,61.0,97.0,97.0,97.0
2012,BURLESON,102.9,0.0,0.0,70.0,95.0,95.0,95.0
2013,BURLESON,92.2,0.0,0.0,69.0,95.0,98.0,98.0
2015,BURLESON,96.1,2.0,20.0,56.0,83.0,100.0,100.0
2016,BURLESON,104.3,0.0,38.0,52.0,93.0,99.0,99.0
2017,BURLESON,124.7,0.0,45.0,71.0,96.0,100.0,100.0
2018,BURLESON,95.5,0.0,43.0,70.0,90.0,96.0,96.0
2019,BURLESON,82.7,0.0,51.0,65.0,93.0,100.0,100.0
2020,BURLESON,120.8,0.0,50.0,67.0,96.0,98.0,98.0
2021,BURLESON,130.1,3.0,50.0,66.0,95.0,95.0,95.0
2022,BURLESON,89.7,5.0,51.0,69.0,94.0,99.0,99.0
2024,BURLESON,133.2,3.0,57.0,71.0,92.0,100.0,100.0
2002,CAMP,86.7,0.0,0.0,75.0,99.0,100.0,100.0
2003,CAMP,95.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,CAMP,142.3,0.0,0.0,70.0,98.0,98.0,98.0
2017,COLEMAN,100.5,0.0,45.0,71.0,96.0,100.0,100.0
2019,COLEMAN,63.2,0.0,51.0,65.0,93.0,100.0,100.0
2020,COLEMAN,28.0,0.0,50.0,67.0,96.0,98.0,98.0
2021,COLEMAN,52.4,3.0,50.0,66.0,95.0,95.0,95.0
2000,COMANCHE,116.3,0.0,0.0,80.0,97.0,97.0,97.0
2001,COMANCHE,56.7,0.0,0.0,69.0,98.0,98.0,98.0
2002,COMANCHE,58.0,0.0,0.0,75.0,99.0,100.0,100.0
2003,COMANCHE,141.2,0.0,0.0,73.0,99.0,100.0,100.0
2004,COMANCHE,45.4,0.0,0.0,70.0,98.0,98.0,98.0
2006,COMANCHE,165.0,0.0,0.0,80.0,99.0,99.0,99.0
2000,CONCHO,95.0,0.0,0.0,80.0,97.0,97.0,97.0
2016,CONCHO,92.3,0.0,38.0,52.0,93.0,99.0,99.0
2019,CONCHO,116.7,0.0,51.0,65.0,93.0,100.0,100.0
2001,CROSBY,140.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,CROSBY,100.0,0.0,0.0,75.0,99.0,100.0,100.0
2009,CROSBY,170.0,0.0,0.0,74.0,98.0,100.0,100.0
