Year,County,Yield_Bu_Acre,February_End_Pct,March_End_Pct,April_End_Pct,May_End_Pct,June_End_Pct,July_End_Pct
2000,LIBERTY,46.3,0.0,0.0,80.0,97.0,97.0,97.0
2001,LIBERTY,68.1,0.0,0.0,69.0,98.0,98.0,98.0
2002,LIBERTY,57.5,0.0,0.0,75.0,99.0,100.0,100.0
2003,LIBERTY,65.7,0.0,0.0,73.0,99.0,100.0,100.0
2004,LIBERTY,42.2,0.0,0.0,70.0,98.0,98.0,98.0
2005,LIBERTY,60.6,0.0,0.0,72.0,95.0,95.0,95.0
2006,LIBERTY,80.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,LIBERTY,53.0,0.0,0.0,70.0,98.0,98.0,98.0
2010,LIBERTY,57.5,0.0,0.0,61.0,97.0,97.0,97.0
2011,LUBBOCK,151.5,0.0,0.0,66.0,98.0,100.0,100.0
2015,LUBBOCK,137.2,2.0,20.0,56.0,83.0,100.0,100.0
2016,LYNN,106.0,0.0,38.0,52.0,93.0,99.0,99.0
2019,LYNN,128.8,0.0,51.0,65.0,93.0,100.0,100.0
2020,LYNN,67.6,0.0,50.0,67.0,96.0,98.0,98.0
2000,MCCULLOCH,94.7,0.0,0.0,80.0,97.0,97.0,97.0
2002,MCCULLOCH,73.3,0.0,0.0,75.0,99.0,100.0,100.0
2010,MCCULLOCH,56.0,0.0,0.0,61.0,97.0,97.0,97.0
2000,MCLENNAN,104.1,0.0,0.0,80.0,97.0,97.0,97.0
2001,MCLENNAN,73.8,0.0,0.0,69.0,98.0,98.0,98.0
2002,MCLENNAN,67.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,MCLENNAN,84.9,0.0,0.0,73.0,99.0,100.0,100.0
2004,MCLENNAN,96.0,0.0,0.0,70.0,98.0,98.0,98.0
2005,MCLENNAN,67.5,0.0,0.0,72.0,95.0,95.0,95.0
2006,MCLENNAN,71.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,MCLENNAN,90.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,MCLENNAN,58.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,MCLENNAN,52.2,0.0,0.0,74.0,98.0,100.0,100.0
2010,MCLENNAN,78.5,0.0,0.0,61.0,97.0,97.0,97.0
2011,MCLENNAN,40.7,0.0,0.0,66.0,98.0,100.0,100.0
2012,MCLENNAN,90.1,0.0,0.0,70.0,95.0,95.0,95.0
2013,MCLENNAN,89.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,MCLENNAN,106.2,0.0,0.0,64.0,97.0,100.0,100.0
2015,MCLENNAN,99.4,2.0,20.0,56.0,83.0,100.0,100.0
2016,MCLENNAN,68.5,0.0,38.0,52.0,93.0,99.0,99.0
2017,MCLENNAN,102.0,0.0,45.0,71.0,96.0,100.0,100.0
2018,MCLENNAN,62.8,0.0,43.0,70.0,90.0,96.0,96.0
2019,MCLENNAN,105.0,0.0,51.0,65.0,93.0,100.0,100.0
2020,MCLENNAN,91.2,0.0,50.0,67.0,96.0,98.0,98.0
2021,MCLENNAN,120.7,3.0,50.0,66.0,95.0,95.0,95.0
2022,MCLENNAN,61.2,5.0,51.0,69.0,94.0,99.0,99.0
2023,MCLENNAN,107.8,5.0,52.0,74.0,92.0,100.0,100.0
2024,MCLENNAN,83.6,3.0,57.0,71.0,92.0,100.0,100.0
2000,MILAM,112.0,0.0,0.0,80.0,97.0,97.0,97.0
2001,MILAM,78.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,MILAM,67.7,0.0,0.0,75.0,99.0,100.0,100.0
2003,MILAM,66.8,0.0,0.0,73.0,99.0,100.0,100.0
2004,MILAM,94.4,0.0,0.0,70.0,98.0,98.0,98.0
2005,MILAM,58.7,0.0,0.0,72.0,95.0,95.0,95.0
2006,MILAM,79.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,MILAM,93.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,MILAM,60.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,MILAM,40.5,0.0,0.0,74.0,98.0,100.0,100.0
2010,MILAM,73.8,0.0,0.0,61.0,97.0,97.0,97.0
2011,MILAM,28.7,0.0,0.0,66.0,98.0,100.0,100.0
2012,MILAM,82.3,0.0,0.0,70.0,95.0,95.0,95.0
2013,MILAM,91.8,0.0,0.0,69.0,95.0,98.0,98.0
2014,MILAM,118.8,0.0,0.0,64.0,97.0,100.0,100.0
2015,MILAM,71.6,2.0,20.0,56.0,83.0,100.0,100.0
2016,MILAM,61.4,0.0,38.0,52.0,93.0,99.0,99.0
2017,MILAM,97.1,0.0,45.0,71.0,96.0,100.0,100.0
2018,MILAM,61.8,0.0,43.0,70.0,90.0,96.0,96.0
2019,MILAM,91.4,0.0,51.0,65.0,93.0,100.0,100.0
2020,MILAM,92.3,0.0,50.0,67.0,96.0,98.0,98.0
2021,MILAM,111.9,3.0,50.0,66.0,95.0,95.0,95.0
2022,MILAM,70.0,5.0,51.0,69.0,94.0,99.0,99.0
2023,MILAM,95.2,5.0,52.0,74.0,92.0,100.0,100.0
2024,MILAM,114.6,3.0,57.0,71.0,92.0,100.0,100.0
2000,NAVARRO,113.9,0.0,0.0,80.0,97.0,97.0,97.0
2001,NAVARRO,94.6,0.0,0.0,69.0,98.0,98.0,98.0
2002,NAVARRO,90.2,0.0,0.0,75.0,99.0,100.0,100.0
2003,NAVARRO,103.2,0.0,0.0,73.0,99.0,100.0,100.0
2004,NAVARRO,86.1,0.0,0.0,70.0,98.0,98.0,98.0
2005,NAVARRO,72.7,0.0,0.0,72.0,95.0,95.0,95.0
2006,NAVARRO,73.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,NAVARRO,111.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,NAVARRO,54.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,NAVARRO,49.9,0.0,0.0,74.0,98.0,100.0,100.0
2010,NAVARRO,90.9,0.0,0.0,61.0,97.0,97.0,97.0
2011,NAVARRO,49.3,0.0,0.0,66.0,98.0,100.0,100.0
2012,NAVARRO,137.6,0.0,0.0,70.0,95.0,95.0,95.0
2013,NAVARRO,92.3,0.0,0.0,69.0,95.0,98.0,98.0
2014,NAVARRO,119.8,0.0,0.0,64.0,97.0,100.0,100.0
2015,NAVARRO,58.2,2.0,20.0,56.0,83.0,100.0,100.0
2016,NAVARRO,74.1,0.0,38.0,52.0,93.0,99.0,99.0
2017,NAVARRO,105.3,0.0,45.0,71.0,96.0,100.0,100.0
2018,NAVARRO,65.8,0.0,43.0,70.0,90.0,96.0,96.0
2019,NAVARRO,114.3,0.0,51.0,65.0,93.0,100.0,100.0
2020,NAVARRO,101.6,0.0,50.0,67.0,96.0,98.0,98.0
2021,NAVARRO,90.6,3.0,50.0,66.0,95.0,95.0,95.0
2022,NAVARRO,64.4,5.0,51.0,69.0,94.0,99.0,99.0
2023,NAVARRO,111.6,5.0,52.0,74.0,92.0,100.0,100.0
2024,NAVARRO,93.8,3.0,57.0,71.0,92.0,100.0,100.0
2000,RED RIVER,94.6,0.0,0.0,80.0,97.0,97.0,97.0
2001,RED RIVER,119.8,0.0,0.0,69.0,98.0,98.0,98.0
2002,RED RIVER,101.3,0.0,0.0,75.0,99.0,100.0,100.0
2003,RED RIVER,120.3,0.0,0.0,73.0,99.0,100.0,100.0
2004,RED RIVER,103.4,0.0,0.0,70.0,98.0,98.0,98.0
2005,RED RIVER,60.4,0.0,0.0,72.0,95.0,95.0,95.0
2006,RED RIVER,92.0,0.0,0.0,80.0,99.0,99.0,99.0
2000,ROBERTSON,101.0,0.0,0.0,80.0,97.0,97.0,97.0
2001,ROBERTSON,97.3,0.0,0.0,69.0,98.0,98.0,98.0
2002,ROBERTSON,111.7,0.0,0.0,75.0,99.0,100.0,100.0
2003,ROBERTSON,96.8,0.0,0.0,73.0,99.0,100.0,100.0
2004,ROBERTSON,114.8,0.0,0.0,70.0,98.0,98.0,98.0
2005,ROBERTSON,115.3,0.0,0.0,72.0,95.0,95.0,95.0
2006,ROBERTSON,108.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,ROBERTSON,142.0,0.0,0.0,70.0,98.0,98.0,98.0
2009,ROBERTSON,75.2,0.0,0.0,74.0,98.0,100.0,100.0
2013,ROBERTSON,114.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,ROBERTSON,154.8,0.0,0.0,64.0,97.0,100.0,100.0
2018,ROBERTSON,117.0,0.0,43.0,70.0,90.0,96.0,96.0
2022,ROBERTSON,85.2,5.0,51.0,69.0,94.0,99.0,99.0
2024,ROBERTSON,119.7,3.0,57.0,71.0,92.0,100.0,100.0
2012,RUNNELS,30.3,0.0,0.0,70.0,95.0,95.0,95.0
2004,TERRY,115.8,0.0,0.0,70.0,98.0,98.0,98.0
2005,TERRY,121.0,0.0,0.0,72.0,95.0,95.0,95.0
2015,TERRY,99.1,2.0,20.0,56.0,83.0,100.0,100.0
2000,TOM GREEN,131.3,0.0,0.0,80.0,97.0,97.0,97.0
2001,TOM GREEN,123.3,0.0,0.0,69.0,98.0,98.0,98.0
2002,TOM GREEN,123.6,0.0,0.0,75.0,99.0,100.0,100.0
2003,TOM GREEN,118.3,0.0,0.0,73.0,99.0,100.0,100.0
2004,TOM GREEN,122.5,0.0,0.0,70.0,98.0,98.0,98.0
2005,TOM GREEN,180.5,0.0,0.0,72.0,95.0,95.0,95.0
2006,TOM GREEN,119.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,TOM GREEN,192.0,0.0,0.0,70.0,98.0,98.0,98.0
2009,TOM GREEN,140.5,0.0,0.0,74.0,98.0,100.0,100.0
2010,TOM GREEN,133.6,0.0,0.0,61.0,97.0,97.0,97.0
2012,TOM GREEN,109.4,0.0,0.0,70.0,95.0,95.0,95.0
2013,TOM GREEN,175.0,0.0,0.0,69.0,95.0,98.0,98.0
2016,TOM GREEN,106.7,0.0,38.0,52.0,93.0,99.0,99.0
2017,TOM GREEN,141.0,0.0,45.0,71.0,96.0,100.0,100.0
2018,TOM GREEN,128.1,0.0,43.0,70.0,90.0,96.0,96.0
2019,TOM GREEN,120.6,0.0,51.0,65.0,93.0,100.0,100.0
2021,TOM GREEN,110.0,3.0,50.0,66.0,95.0,95.0,95.0
2022,TOM GREEN,105.4,5.0,51.0,69.0,94.0,99.0,99.0
2023,TOM GREEN,113.9,5.0,52.0,74.0,92.0,100.0,100.0
2000,WILLIAMSON,88.3,0.0,0.0,80.0,97.0,97.0,97.0
2001,WILLIAMSON,88.9,0.0,0.0,69.0,98.0,98.0,98.0
2002,WILLIAMSON,55.0,0.0,0.0,75.0,99.0,100.0,100.0
2003,WILLIAMSON,66.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,WILLIAMSON,96.9,0.0,0.0,70.0,98.0,98.0,98.0
2005,WILLIAMSON,75.2,0.0,0.0,72.0,95.0,95.0,95.0
2006,WILLIAMSON,60.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,WILLIAMSON,103.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,WILLIAMSON,59.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,WILLIAMSON,47.6,0.0,0.0,74.0,98.0,100.0,100.0
2010,WILLIAMSON,90.3,0.0,0.0,61.0,97.0,97.0,97.0
2011,WILLIAMSON,19.8,0.0,0.0,66.0,98.0,100.0,100.0
2012,WILLIAMSON,84.4,0.0,0.0,70.0,95.0,95.0,95.0
2013,WILLIAMSON,80.8,0.0,0.0,69.0,95.0,98.0,98.0
2014,WILLIAMSON,99.9,0.0,0.0,64.0,97.0,100.0,100.0
2015,WILLIAMSON,69.5,2.0,20.0,56.0,83.0,100.0,100.0
2016,WILLIAMSON,65.7,0.0,38.0,52.0,93.0,99.0,99.0
2017,WILLIAMSON,94.3,0.0,45.0,71.0,96.0,100.0,100.0
2018,WILLIAMSON,63.5,0.0,43.0,70.0,90.0,96.0,96.0
2019,WILLIAMSON,100.6,0.0,51.0,65.0,93.0,100.0,100.0
2020,WILLIAMSON,87.7,0.0,50.0,67.0,96.0,98.0,98.0
2021,WILLIAMSON,98.2,3.0,50.0,66.0,95.0,95.0,95.0
2022,WILLIAMSON,52.2,5.0,51.0,69.0,94.0,99.0,99.0
2023,WILLIAMSON,101.6,5.0,52.0,74.0,92.0,100.0,100.0
2024,WILLIAMSON,94.3,3.0,57.0,71.0,92.0,100.0,100.0
2004,WISE,60.0,0.0,0.0,70.0,98.0,98.0,98.0
2006,WISE,60.0,0.0,0.0,80.0,99.0,99.0,99.0
