,year,state_alpha,county_name,Value,reference_period_desc
0,2016,TX,OTHER (COMBINED) COUNTIES,199.2,YEAR
1,2016,TX,ARMSTRONG,176.3,YEAR
2,2016,TX,BRISCOE,93.9,YEAR
3,2016,TX,CARSON,168.5,YEAR
4,2016,TX,DALLAM,198.4,YEAR
5,2016,TX,DEAF SMITH,165,YEAR
6,2016,TX,FLOYD,152.2,YEAR
7,2016,TX,HALE,137.6,YEAR
8,2016,TX,HANSFORD,202.9,YEAR
9,2016,TX,HUTCHINSON,212.2,YEAR
10,2016,TX,MOORE,209.5,YEAR
11,2016,TX,OCHILTREE,203.3,YEAR
12,2016,TX,PARMER,153.7,YEAR
13,2016,TX,RANDALL,198,YEAR
14,2016,TX,SHERMAN,220.8,YEAR
15,2016,TX,OTHER (COMBINED) COUNTIES,103.9,YEAR
16,2016,TX,BAILEY,57.1,YEAR
17,2016,TX,CROSBY,104.7,YEAR
18,2016,TX,HOCKLEY,105.4,YEAR
19,2016,TX,LAMB,119.7,YEAR
20,2016,TX,LYNN,106,YEAR
21,2016,TX,OTHER (COMBINED) COUNTIES,66.2,YEAR
22,2016,TX,OTHER (COMBINED) COUNTIES,70.9,YEAR
23,2016,TX,BELL,60.6,YEAR
24,2016,TX,COLLIN,75,YEAR
25,2016,TX,ELLIS,80.4,YEAR
26,2016,TX,FALLS,62.1,YEAR
27,2016,TX,FANNIN,82.1,YEAR
28,2016,TX,GRAYSON,62.1,YEAR
29,2016,TX,HILL,80.4,YEAR
30,2016,TX,JOHNSON,71.9,YEAR
31,2016,TX,LAMAR,80,YEAR
32,2016,TX,LIMESTONE,72,YEAR
33,2016,TX,MCLENNAN,68.5,YEAR
34,2016,TX,MILAM,61.4,YEAR
35,2016,TX,NAVARRO,74.1,YEAR
36,2016,TX,WILLIAMSON,65.7,YEAR
37,2016,TX,OTHER (COMBINED) COUNTIES,107.9,YEAR
38,2016,TX,CONCHO,92.3,YEAR
39,2016,TX,GILLESPIE,75.3,YEAR
40,2016,TX,TOM GREEN,106.7,YEAR
41,2016,TX,UVALDE,131,YEAR
42,2016,TX,OTHER (COMBINED) COUNTIES,82.7,YEAR
43,2016,TX,BEE,89.1,YEAR
44,2016,TX,BEXAR,96.4,YEAR
45,2016,TX,BURLESON,104.3,YEAR
46,2016,TX,CALDWELL,99,YEAR
47,2016,TX,COLORADO,95.5,YEAR
48,2016,TX,FAYETTE,83.3,YEAR
49,2016,TX,GOLIAD,102.2,YEAR
50,2016,TX,GONZALES,100.8,YEAR
