year,county_name,Value
2008,OTHER (COMBINED) COUNTIES,176.0
2008,CARSON,182.0
2008,CASTRO,208.0
2008,DALLAM,175.0
2008,DEAF SMITH,178.0
2008,FLOYD,146.0
2008,HALE,166.0
2008,HANSFORD,211.0
2008,HARTLEY,198.0
2008,HUTCHINSON,191.0
2008,MOORE,211.0
2008,OCHILTREE,216.0
2008,PARMER,174.0
2008,SHERMAN,208.0
2008,SWISHER,162.0
2008,OTHER (COMBINED) COUNTIES,119.0
2008,LAMB,172.0
2008,OTHER (COMBINED) COUNTIES,66.0
2008,BELL,63.0
2008,COLLIN,49.0
2008,CORYELL,42.0
2008,ELLIS,55.0
2008,FALLS,69.0
2008,FANNIN,82.0
2008,GRAYSON,75.0
2008,HILL,55.0
2008,LAMAR,93.0
2008,MCLENNAN,58.0
2008,MILAM,60.0
2008,NAVARRO,54.0
2008,WILLIAMSON,59.0
2008,OTHER (COMBINED) COUNTIES,79.0
2008,OTHER (COMBINED) COUNTIES,94.0
2008,WALLER,55.0
2008,OTHER (COMBINED) COUNTIES,80.0
2008,UVALDE,112.0
2008,OTHER (COMBINED) COUNTIES,37.0
2008,BEE,49.0
2008,BEXAR,61.0
2008,BURLESON,94.0
2008,COLORADO,68.0
2008,DE WITT,42.0
2008,FAYETTE,40.0
2008,GONZALES,46.0
2008,GUADALUPE,24.0
2008,LEE,44.0
2008,MEDINA,102.0
2008,TRAVIS,47.0
2008,WILSON,68.0
2008,OTHER (COMBINED) COUNTIES,62.0
2008,NUECES,39.0
2008,OTHER (COMBINED) COUNTIES,87.0
2008,CALHOUN,76.0
2008,FORT BEND,64.0
2008,JACKSON,72.0
2008,MATAGORDA,75.0
2008,VICTORIA,83.0
2008,WHARTON,82.0
2008,OTHER (COMBINED) COUNTIES,75.0
2008,OTHER (COMBINED) COUNTIES,69.0
2008,CAMERON,70.0
2008,HIDALGO,75.0
2008,OTHER (COMBINED) COUNTIES,25.5
2008,OTHER (COMBINED) COUNTIES,27.0
2008,OTHER (COMBINED) COUNTIES,11.0
2008,OTHER (COMBINED) COUNTIES,121.0
2008,OTHER (COMBINED) COUNTIES,115.0
2008,OTHER (COMBINED) COUNTIES,109.0
2008,OTHER (COMBINED) COUNTIES,118.0
2008,OTHER (COMBINED) COUNTIES,106.0
2008,OTHER (COMBINED) COUNTIES,107.0
2008,OTHER (COMBINED) COUNTIES,61.0
2008,OTHER (COMBINED) COUNTIES,62.0
2008,OTHER (COMBINED) COUNTIES,16.0
2008,OTHER (COMBINED) COUNTIES,41.0
2008,OTHER (COMBINED) COUNTIES,76.0
2008,OTHER (COMBINED) COUNTIES,35.0
