,year,state_alpha,county_name,Value,reference_period_desc
0,2011,TX,OTHER (COMBINED) COUNTIES,142,YEAR
1,2011,TX,CARSON,114.5,YEAR
2,2011,TX,CASTRO,141.6,YEAR
3,2011,TX,DALLAM,120,YEAR
4,2011,TX,DEAF SMITH,105.1,YEAR
5,2011,TX,FLOYD,114.1,YEAR
6,2011,TX,HALE,129.9,YEAR
7,2011,TX,HUTCHINSON,158.6,YEAR
8,2011,TX,MOORE,154,YEAR
9,2011,TX,OCHILTREE,135.3,YEAR
10,2011,TX,OLDHAM,69.3,YEAR
11,2011,TX,PARMER,141.3,YEAR
12,2011,TX,SHERMAN,129,YEAR
13,2011,TX,SWISHER,106,YEAR
14,2011,TX,OTHER (COMBINED) COUNTIES,139,YEAR
15,2011,TX,LUBBOCK,151.5,YEAR
16,2011,TX,OTHER (COMBINED) COUNTIES,84.9,YEAR
17,2011,TX,OTHER (COMBINED) COUNTIES,35.2,YEAR
18,2011,TX,BELL,33,YEAR
19,2011,TX,COLLIN,59.4,YEAR
20,2011,TX,CORYELL,54.1,YEAR
21,2011,TX,ELLIS,49.2,YEAR
22,2011,TX,FALLS,45.4,YEAR
23,2011,TX,FANNIN,52.6,YEAR
24,2011,TX,GRAYSON,52.1,YEAR
25,2011,TX,HILL,46,YEAR
26,2011,TX,LAMAR,78.6,YEAR
27,2011,TX,MCLENNAN,40.7,YEAR
28,2011,TX,MILAM,28.7,YEAR
29,2011,TX,NAVARRO,49.3,YEAR
30,2011,TX,WILLIAMSON,19.8,YEAR
31,2011,TX,OTHER (COMBINED) COUNTIES,86.9,YEAR
32,2011,TX,OTHER (COMBINED) COUNTIES,82.9,YEAR
33,2011,TX,OTHER (COMBINED) COUNTIES,91.9,YEAR
34,2011,TX,UVALDE,113.3,YEAR
35,2011,TX,OTHER (COMBINED) COUNTIES,40,YEAR
36,2011,TX,AUSTIN,19.5,YEAR
37,2011,TX,BEE,39.8,YEAR
38,2011,TX,BEXAR,61.3,YEAR
39,2011,TX,CALDWELL,15.9,YEAR
40,2011,TX,COLORADO,78.7,YEAR
41,2011,TX,DE WITT,29.6,YEAR
42,2011,TX,FAYETTE,30,YEAR
43,2011,TX,GOLIAD,16.6,YEAR
44,2011,TX,GUADALUPE,15.6,YEAR
45,2011,TX,HAYS,12.6,YEAR
46,2011,TX,KARNES,20.8,YEAR
47,2011,TX,LAVACA,34.1,YEAR
48,2011,TX,LEE,13,YEAR
49,2011,TX,MEDINA,121.3,YEAR
50,2011,TX,TRAVIS,22.8,YEAR
51,2011,TX,WILSON,69,YEAR
52,2011,TX,OTHER (COMBINED) COUNTIES,77.3,YEAR
53,2011,TX,NUECES,43.8,YEAR
54,2011,TX,SAN PATRICIO,61.8,YEAR
55,2011,TX,OTHER (COMBINED) COUNTIES,11.1,YEAR
56,2011,TX,BRAZORIA,43,YEAR
57,2011,TX,CALHOUN,51.7,YEAR
58,2011,TX,FORT BEND,39.4,YEAR
59,2011,TX,JACKSON,47.9,YEAR
60,2011,TX,MATAGORDA,55.3,YEAR
61,2011,TX,VICTORIA,62.4,YEAR
62,2011,TX,WHARTON,48.3,YEAR
63,2011,TX,OTHER (COMBINED) COUNTIES,81.1,YEAR
64,2011,TX,FRIO,144,YEAR
65,2011,TX,JIM WELLS,26.2,YEAR
66,2011,TX,LIVE OAK,47.7,YEAR
67,2011,TX,ZAVALA,116.8,YEAR
68,2011,TX,OTHER (COMBINED) COUNTIES,88,YEAR
69,2011,TX,HIDALGO,81.6,YEAR
70,2011,TX,OTHER (COMBINED) COUNTIES,133.5,YEAR
71,2011,TX,HALE,129.9,YEAR
72,2011,TX,HUTCHINSON,158.6,YEAR
73,2011,TX,MOORE,154,YEAR
74,2011,TX,OTHER (COMBINED) COUNTIES,103,YEAR
75,2011,TX,BELL,102.2,YEAR
76,2011,TX,LAMAR,93.9,YEAR
77,2011,TX,OTHER (COMBINED) COUNTIES,113,YEAR
78,2011,TX,OTHER (COMBINED) COUNTIES,97.6,YEAR
79,2011,TX,BEXAR,107,YEAR
80,2011,TX,MEDINA,129.7,YEAR
81,2011,TX,OTHER (COMBINED) COUNTIES,108.1,YEAR
82,2011,TX,WHARTON,100.5,YEAR
83,2011,TX,OTHER (COMBINED) COUNTIES,134.4,YEAR
84,2011,TX,OTHER (COMBINED) COUNTIES,11.8,YEAR
85,2011,TX,OTHER (COMBINED) COUNTIES,35.5,YEAR
86,2011,TX,BELL,32.2,YEAR
87,2011,TX,COLLIN,59.4,YEAR
88,2011,TX,ELLIS,49.2,YEAR
89,2011,TX,GRAYSON,52.1,YEAR
90,2011,TX,LAMAR,76.8,YEAR
91,2011,TX,NAVARRO,49.3,YEAR
92,2011,TX,OTHER (COMBINED) COUNTIES,21.4,YEAR
93,2011,TX,OTHER (COMBINED) COUNTIES,31.1,YEAR
94,2011,TX,BEXAR,15.6,YEAR
95,2011,TX,CALDWELL,15.9,YEAR
96,2011,TX,DE WITT,29.6,YEAR
97,2011,TX,HAYS,12.6,YEAR
98,2011,TX,MEDINA,12.5,YEAR
99,2011,TX,TRAVIS,22.8,YEAR
100,2011,TX,OTHER (COMBINED) COUNTIES,49.9,YEAR
101,2011,TX,WHARTON,42.2,YEAR
102,2011,TX,OTHER (COMBINED) COUNTIES,26.3,YEAR
