year,county_name,Value
2018,OTHER (COMBINED) COUNTIES,167.0
2018,DALLAM,176.9
2018,FLOYD,144.5
2018,GRAY,157.1
2018,HALE,139.7
2018,HANSFORD,200.9
2018,HUTCHINSON,178.9
2018,MOORE,192.9
2018,OCHILTREE,170.9
2018,SHERMAN,179.1
2018,OTHER (COMBINED) COUNTIES,66.3
2018,OTHER (COMBINED) COUNTIES,62.3
2018,BELL,56.4
2018,COLLIN,62.3
2018,DELTA,70.8
2018,DENTON,42.7
2018,ELLIS,71.9
2018,FANNIN,67.9
2018,GRAYSON,65.0
2018,HILL,62.0
2018,HUNT,65.1
2018,JOHNSON,63.1
2018,LAMAR,73.8
2018,MCLENNAN,62.8
2018,MILAM,61.8
2018,NAVARRO,65.8
2018,WILLIAMSON,63.5
2018,OTHER (COMBINED) COUNTIES,95.2
2018,ROBERTSON,117.0
2018,OTHER (COMBINED) COUNTIES,124.4
2018,GILLESPIE,60.6
2018,TOM GREEN,128.1
2018,UVALDE,119.0
2018,OTHER (COMBINED) COUNTIES,63.4
2018,AUSTIN,68.5
2018,BEE,67.7
2018,BEXAR,68.2
2018,BURLESON,95.5
2018,CALDWELL,64.4
2018,COLORADO,102.2
2018,DE WITT,60.5
2018,FAYETTE,67.7
2018,GONZALES,75.9
2018,GUADALUPE,57.7
2018,HAYS,70.0
2018,LAVACA,76.9
2018,LEE,70.3
2018,MEDINA,100.0
2018,TRAVIS,60.1
2018,WILSON,78.5
2018,OTHER (COMBINED) COUNTIES,67.1
2018,KLEBERG,62.0
2018,SAN PATRICIO,70.1
2018,OTHER (COMBINED) COUNTIES,91.7
2018,CALHOUN,88.8
2018,FORT BEND,93.3
2018,JACKSON,87.8
2018,MATAGORDA,90.7
2018,VICTORIA,92.2
2018,WHARTON,94.1
2018,OTHER (COMBINED) COUNTIES,71.1
2018,ATASCOSA,90.7
2018,FRIO,111.8
2018,ZAVALA,110.4
2018,OTHER (COMBINED) COUNTIES,74.7
2018,CAMERON,95.0
2018,HIDALGO,89.1
2018,OTHER (COMBINED) COUNTIES,177.3
2018,DALLAM,178.8
2018,OTHER (COMBINED) COUNTIES,100.0
2018,OTHER (COMBINED) COUNTIES,126.4
2018,ROBERTSON,126.8
2018,OTHER (COMBINED) COUNTIES,143.0
2018,UVALDE,143.8
2018,OTHER (COMBINED) COUNTIES,119.2
2018,BEXAR,121.6
2018,BURLESON,120.8
2018,MEDINA,122.0
2018,OTHER (COMBINED) COUNTIES,104.8
2018,WHARTON,102.9
2018,OTHER (COMBINED) COUNTIES,115.0
2018,OTHER (COMBINED) COUNTIES,100.8
2018,HIDALGO,104.7
2018,OTHER (COMBINED) COUNTIES,81.8
2018,DALLAM,82.4
2018,OTHER (COMBINED) COUNTIES,62.3
2018,DENTON,42.7
2018,GRAYSON,65.0
2018,NAVARRO,65.8
2018,OTHER (COMBINED) COUNTIES,85.7
2018,ROBERTSON,85.8
2018,OTHER (COMBINED) COUNTIES,61.9
2018,GILLESPIE,60.6
2018,UVALDE,61.1
2018,OTHER (COMBINED) COUNTIES,64.4
2018,BEXAR,55.0
2018,BURLESON,65.9
2018,CALDWELL,64.4
2018,DE WITT,60.5
2018,HAYS,70.0
2018,MEDINA,80.0
2018,TRAVIS,60.1
2018,OTHER (COMBINED) COUNTIES,89.4
2018,WHARTON,93.1
2018,OTHER (COMBINED) COUNTIES,62.4
2018,OTHER (COMBINED) COUNTIES,65.1
2018,HIDALGO,66.4
