year,county_name,Value
2024,CARSON,181.8
2024,DALLAM,159.3
2024,DEAF SMITH,142.0
2024,FLOYD,99.4
2024,GRAY,215.0
2024,HANSFORD,203.3
2024,MOORE,213.2
2024,PARMER,128.8
2024,SHERMAN,193.7
2024,LAMB,106.0
2024,WICHITA,58.8
2024,BELL,54.6
2024,COLLIN,51.6
2024,COOKE,78.1
2024,DENTON,61.5
2024,ELLIS,75.0
2024,FALLS,89.9
2024,FANNIN,58.8
2024,HILL,80.9
2024,HUNT,50.5
2024,LIMESTONE,85.4
2024,MCLENNAN,83.6
2024,MILAM,114.6
2024,NAVARRO,93.8
2024,WILLIAMSON,94.3
2024,ROBERTSON,119.7
2024,GILLESPIE,64.3
2024,UVALDE,94.7
2024,AUSTIN,83.9
2024,BEE,41.8
2024,BEXAR,68.3
2024,BURLESON,133.2
2024,CALDWELL,110.1
2024,COLORADO,113.6
2024,DE WITT,85.2
2024,FAYETTE,111.9
2024,GOLIAD,60.6
2024,GONZALES,94.5
2024,GUADALUPE,69.1
2024,KARNES,62.4
2024,LAVACA,100.5
2024,LEE,115.3
2024,MEDINA,98.6
2024,TRAVIS,100.3
2024,REFUGIO,99.4
2024,SAN PATRICIO,59.5
2024,CALHOUN,113.1
2024,FORT BEND,110.2
2024,JACKSON,116.5
2024,MATAGORDA,103.2
2024,VICTORIA,103.8
2024,WHARTON,130.2
2024,FRIO,134.8
2024,CAMERON,44.5
2024,WILLACY,81.3
2024,OTHER COUNTIES,105.9
