Year,County,Yield_Value,Yield_Unit,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_July,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2016,OTHER (COMBINED) COUNTIES,71.8,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,OTHER (COMBINED) COUNTIES,62.2,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,OTHER (COMBINED) COUNTIES,45.5,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,OTHER (COMBINED) COUNTIES,47.2,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,OTHER (COMBINED) COUNTIES,63.0,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,OTHER (COMBINED) COUNTIES,64.1,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,OTHER (COMBINED) COUNTIES,87.7,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,OTHER (COMBINED) COUNTIES,37.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,OTHER (COMBINED) COUNTIES,62.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,OTHER (COMBINED) COUNTIES,75.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,OTHER (COMBINED) COUNTIES,38.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,OTHER (COMBINED) COUNTIES,50.0,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,OTHER (COMBINED) COUNTIES,80.1,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2002,OTHER (COMBINED) COUNTIES,55.8,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,OTHER (COMBINED) COUNTIES,0.0,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,OTHER (COMBINED) COUNTIES,0.0,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2021,KLEBERG,60.1,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,KLEBERG,75.7,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,KLEBERG,101.5,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2016,KLEBERG,76.9,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2014,KLEBERG,51.3,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2012,KLEBERG,36.3,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,KLEBERG,52.5,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,KLEBERG,56.5,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2007,KLEBERG,75.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,KLEBERG,49.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2003,KLEBERG,71.4,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,KLEBERG,49.9,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,KLEBERG,35.7,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,KLEBERG,62.2,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2025,NUECES,53.7,BU / ACRE,67.0,67.0,100.0,100.0,46.0,81.0
2024,NUECES,78.8,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2023,NUECES,59.6,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,NUECES,53.3,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2021,NUECES,74.5,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,NUECES,75.8,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,NUECES,91.3,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,NUECES,45.8,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,NUECES,73.6,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,NUECES,78.9,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,NUECES,57.5,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,NUECES,56.5,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2012,NUECES,33.7,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,NUECES,56.8,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,NUECES,80.9,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,NUECES,40.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,NUECES,66.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,NUECES,72.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,NUECES,28.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,NUECES,59.8,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,NUECES,68.5,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,NUECES,65.6,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,NUECES,59.3,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,NUECES,41.7,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,NUECES,58.2,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2024,REFUGIO,85.7,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2023,REFUGIO,64.6,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,REFUGIO,78.4,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2021,REFUGIO,61.9,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,REFUGIO,101.1,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2018,REFUGIO,59.8,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,REFUGIO,90.6,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2015,REFUGIO,56.2,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2010,REFUGIO,81.5,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,REFUGIO,33.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2007,REFUGIO,61.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,REFUGIO,46.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,REFUGIO,72.1,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,REFUGIO,53.3,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,REFUGIO,56.2,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2001,REFUGIO,81.2,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,REFUGIO,85.1,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2025,SAN PATRICIO,68.3,BU / ACRE,67.0,67.0,100.0,100.0,46.0,81.0
2024,SAN PATRICIO,82.1,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2023,SAN PATRICIO,81.9,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,SAN PATRICIO,50.4,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2021,SAN PATRICIO,77.5,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,SAN PATRICIO,93.1,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,SAN PATRICIO,91.5,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,SAN PATRICIO,40.8,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,SAN PATRICIO,80.2,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,SAN PATRICIO,77.0,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,SAN PATRICIO,69.7,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,SAN PATRICIO,63.9,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,SAN PATRICIO,54.3,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,SAN PATRICIO,61.9,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,SAN PATRICIO,59.2,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2008,SAN PATRICIO,86.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,SAN PATRICIO,83.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,SAN PATRICIO,49.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,SAN PATRICIO,75.5,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,SAN PATRICIO,77.5,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,SAN PATRICIO,66.4,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,SAN PATRICIO,64.6,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,SAN PATRICIO,57.8,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,SAN PATRICIO,76.6,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2019,OTHER (COMBINED) COUNTIES,83.2,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,OTHER (COMBINED) COUNTIES,79.8,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,OTHER (COMBINED) COUNTIES,100.4,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,OTHER (COMBINED) COUNTIES,79.4,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,OTHER (COMBINED) COUNTIES,65.5,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,OTHER (COMBINED) COUNTIES,76.4,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,OTHER (COMBINED) COUNTIES,69.8,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,OTHER (COMBINED) COUNTIES,76.1,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,OTHER (COMBINED) COUNTIES,33.0,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,OTHER (COMBINED) COUNTIES,82.0,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,OTHER (COMBINED) COUNTIES,59.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,OTHER (COMBINED) COUNTIES,74.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,OTHER (COMBINED) COUNTIES,36.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,OTHER (COMBINED) COUNTIES,0.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,OTHER (COMBINED) COUNTIES,82.7,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,OTHER (COMBINED) COUNTIES,50.0,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,OTHER (COMBINED) COUNTIES,54.3,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,OTHER (COMBINED) COUNTIES,40.0,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,OTHER (COMBINED) COUNTIES,101.5,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,OTHER (COMBINED) COUNTIES,65.4,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2014,BRAZORIA,100.7,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,BRAZORIA,98.3,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,BRAZORIA,102.9,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,BRAZORIA,56.9,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,BRAZORIA,83.1,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,BRAZORIA,84.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,BRAZORIA,73.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,BRAZORIA,78.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,BRAZORIA,70.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,BRAZORIA,88.7,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,BRAZORIA,64.3,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,BRAZORIA,67.8,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,BRAZORIA,88.7,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,BRAZORIA,87.5,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,BRAZORIA,99.1,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2025,CALHOUN,83.2,BU / ACRE,67.0,67.0,100.0,100.0,46.0,81.0
2024,CALHOUN,69.6,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2023,CALHOUN,80.0,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,CALHOUN,74.9,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2020,CALHOUN,71.0,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,CALHOUN,72.6,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,CALHOUN,80.6,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,CALHOUN,98.9,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,CALHOUN,92.1,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2014,CALHOUN,96.6,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,CALHOUN,86.1,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,CALHOUN,96.9,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,CALHOUN,66.1,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2009,CALHOUN,85.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,CALHOUN,82.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,CALHOUN,53.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,CALHOUN,74.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,CALHOUN,81.0,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,CALHOUN,64.9,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,CALHOUN,72.1,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,CALHOUN,73.0,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,CALHOUN,86.5,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,CALHOUN,81.3,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2007,CHAMBERS,0.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,CHAMBERS,73.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2002,CHAMBERS,97.0,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,CHAMBERS,89.3,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,CHAMBERS,78.3,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2025,FORT BEND,77.2,BU / ACRE,67.0,67.0,100.0,100.0,46.0,81.0
2023,FORT BEND,89.3,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,FORT BEND,73.8,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2021,FORT BEND,56.8,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,FORT BEND,127.1,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,FORT BEND,87.3,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2017,FORT BEND,107.0,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,FORT BEND,72.5,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,FORT BEND,85.7,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,FORT BEND,91.3,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,FORT BEND,75.5,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,FORT BEND,103.3,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,FORT BEND,38.8,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,FORT BEND,69.0,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,FORT BEND,58.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,FORT BEND,75.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,FORT BEND,69.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,FORT BEND,78.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,FORT BEND,72.9,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,FORT BEND,69.3,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,FORT BEND,52.2,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,FORT BEND,71.2,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,FORT BEND,93.2,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,FORT BEND,99.8,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2006,GALVESTON,84.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2004,GALVESTON,68.0,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2002,GALVESTON,75.0,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2006,HARRIS,73.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,HARRIS,59.0,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2003,HARRIS,65.0,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2024,JACKSON,100.5,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2021,JACKSON,63.5,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2019,JACKSON,89.1,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,JACKSON,76.1,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,JACKSON,95.1,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2014,JACKSON,81.5,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2012,JACKSON,71.2,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,JACKSON,69.6,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,JACKSON,69.3,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,JACKSON,63.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,JACKSON,76.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,JACKSON,72.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,JACKSON,71.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,JACKSON,72.3,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,JACKSON,71.0,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,JACKSON,57.3,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,JACKSON,75.4,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,JACKSON,91.4,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,JACKSON,95.2,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2002,JEFFERSON,50.0,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,JEFFERSON,50.7,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2016,LIBERTY,48.0,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,LIBERTY,50.6,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2013,LIBERTY,83.2,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2010,LIBERTY,60.0,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2008,LIBERTY,80.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,LIBERTY,30.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,LIBERTY,62.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,LIBERTY,60.2,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,LIBERTY,57.4,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,LIBERTY,38.0,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,LIBERTY,77.8,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,LIBERTY,56.5,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,LIBERTY,87.4,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2023,MATAGORDA,74.1,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,MATAGORDA,81.4,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2021,MATAGORDA,58.3,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,MATAGORDA,121.2,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2018,MATAGORDA,86.7,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,MATAGORDA,98.3,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,MATAGORDA,74.8,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,MATAGORDA,69.2,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,MATAGORDA,87.1,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,MATAGORDA,91.9,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,MATAGORDA,89.3,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,MATAGORDA,62.2,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,MATAGORDA,74.0,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,MATAGORDA,85.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,MATAGORDA,85.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,MATAGORDA,69.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,MATAGORDA,72.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,MATAGORDA,94.6,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,MATAGORDA,73.1,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,MATAGORDA,52.1,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,MATAGORDA,82.0,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,MATAGORDA,92.6,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,MATAGORDA,92.4,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2024,VICTORIA,104.0,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2022,VICTORIA,71.6,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2020,VICTORIA,93.9,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,VICTORIA,81.5,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,VICTORIA,75.4,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,VICTORIA,96.6,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,VICTORIA,77.7,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,VICTORIA,61.6,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,VICTORIA,95.6,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,VICTORIA,82.0,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,VICTORIA,81.3,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,VICTORIA,74.0,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,VICTORIA,79.1,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,VICTORIA,68.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,VICTORIA,73.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,VICTORIA,73.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,VICTORIA,70.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,VICTORIA,86.9,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,VICTORIA,65.1,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,VICTORIA,54.5,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,VICTORIA,60.9,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,VICTORIA,84.1,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
2000,VICTORIA,105.4,BU / ACRE,46.0,46.0,46.0,95.0,95.0,70.0
2024,WHARTON,83.4,BU / ACRE,65.0,65.0,100.0,100.0,42.0,82.0
2023,WHARTON,72.6,BU / ACRE,69.0,69.0,100.0,98.0,38.0,83.0
2022,WHARTON,81.8,BU / ACRE,63.0,2.0,100.0,99.0,39.0,81.0
2021,WHARTON,66.1,BU / ACRE,65.0,4.0,4.0,100.0,45.0,82.0
2020,WHARTON,130.4,BU / ACRE,67.0,67.0,67.0,98.0,45.0,87.0
2019,WHARTON,89.0,BU / ACRE,65.0,65.0,100.0,100.0,43.0,80.0
2018,WHARTON,74.5,BU / ACRE,81.0,81.0,81.0,100.0,32.0,92.0
2017,WHARTON,91.5,BU / ACRE,72.0,72.0,72.0,100.0,39.0,87.0
2016,WHARTON,75.2,BU / ACRE,50.0,50.0,50.0,96.0,31.0,73.0
2015,WHARTON,79.6,BU / ACRE,57.0,57.0,100.0,95.0,11.0,73.0
2014,WHARTON,91.5,BU / ACRE,67.0,67.0,100.0,97.0,97.0,83.0
2013,WHARTON,86.4,BU / ACRE,64.0,64.0,64.0,98.0,40.0,77.0
2012,WHARTON,100.3,BU / ACRE,65.0,65.0,65.0,94.0,94.0,90.0
2011,WHARTON,51.9,BU / ACRE,55.0,55.0,95.0,92.0,92.0,74.0
2010,WHARTON,74.1,BU / ACRE,56.0,56.0,98.0,95.0,95.0,77.0
2009,WHARTON,61.0,BU / ACRE,61.0,61.0,97.0,95.0,95.0,80.0
2008,WHARTON,73.0,BU / ACRE,65.0,65.0,97.0,95.0,95.0,72.0
2007,WHARTON,69.0,BU / ACRE,62.0,62.0,98.0,94.0,94.0,72.0
2006,WHARTON,80.0,BU / ACRE,66.0,66.0,66.0,94.0,94.0,77.0
2005,WHARTON,81.6,BU / ACRE,47.0,47.0,94.0,89.0,89.0,60.0
2004,WHARTON,71.7,BU / ACRE,50.0,50.0,92.0,91.0,91.0,74.0
2003,WHARTON,52.4,BU / ACRE,48.0,48.0,91.0,84.0,29.0,59.0
2002,WHARTON,82.6,BU / ACRE,46.0,46.0,46.0,93.0,35.0,61.0
2001,WHARTON,94.6,BU / ACRE,42.0,42.0,42.0,92.0,92.0,67.0
