Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2013,OTHER (COMBINED) COUNTIES,157.5,69.0,69.0,98.0,98.0,95.0
2012,OTHER (COMBINED) COUNTIES,110.9,70.0,70.0,70.0,70.0,95.0
2011,OTHER (COMBINED) COUNTIES,139.0,66.0,66.0,100.0,100.0,98.0
2010,OTHER (COMBINED) COUNTIES,193.4,61.0,61.0,61.0,61.0,97.0
2009,OTHER (COMBINED) COUNTIES,123.8,74.0,74.0,100.0,100.0,98.0
2008,OTHER (COMBINED) COUNTIES,119.0,66.0,66.0,99.0,99.0,97.0
2007,OTHER (COMBINED) COUNTIES,172.0,70.0,70.0,70.0,70.0,98.0
2006,OTHER (COMBINED) COUNTIES,205.0,80.0,80.0,80.0,80.0,99.0
2005,OTHER (COMBINED) COUNTIES,139.3,72.0,72.0,72.0,72.0,95.0
2004,OTHER (COMBINED) COUNTIES,140.0,70.0,70.0,70.0,70.0,98.0
2003,OTHER (COMBINED) COUNTIES,130.0,73.0,73.0,100.0,100.0,99.0
2002,OTHER (COMBINED) COUNTIES,156.4,75.0,75.0,100.0,100.0,99.0
2001,OTHER (COMBINED) COUNTIES,142.9,69.0,69.0,69.0,69.0,98.0
2000,OTHER (COMBINED) COUNTIES,126.7,80.0,80.0,80.0,80.0,97.0
2016,BAILEY,57.1,52.0,52.0,99.0,38.0,93.0
2014,BAILEY,150.5,64.0,64.0,100.0,100.0,97.0
2009,BAILEY,185.6,74.0,74.0,100.0,100.0,98.0
2006,BAILEY,166.0,80.0,80.0,80.0,80.0,99.0
2005,BAILEY,224.1,72.0,72.0,72.0,72.0,95.0
2004,BAILEY,180.5,70.0,70.0,70.0,70.0,98.0
2003,BAILEY,165.3,73.0,73.0,100.0,100.0,99.0
2002,BAILEY,174.5,75.0,75.0,100.0,100.0,99.0
2001,BAILEY,142.2,69.0,69.0,69.0,69.0,98.0
2000,BAILEY,180.0,80.0,80.0,80.0,80.0,97.0
2017,COCHRAN,101.6,71.0,71.0,100.0,45.0,96.0
2015,COCHRAN,115.2,56.0,2.0,100.0,20.0,83.0
2014,COCHRAN,120.0,64.0,64.0,100.0,100.0,97.0
2005,COCHRAN,198.5,72.0,72.0,72.0,72.0,95.0
2016,CROSBY,104.7,52.0,52.0,99.0,38.0,93.0
2014,CROSBY,145.5,64.0,64.0,100.0,100.0,97.0
2009,CROSBY,170.0,74.0,74.0,100.0,100.0,98.0
2002,CROSBY,100.0,75.0,75.0,100.0,100.0,99.0
2001,CROSBY,140.0,69.0,69.0,69.0,69.0,98.0
2004,GAINES,174.7,70.0,70.0,70.0,70.0,98.0
2021,GLASSCOCK,171.4,66.0,3.0,3.0,50.0,95.0
2020,HOCKLEY,83.0,67.0,67.0,98.0,50.0,96.0
2019,HOCKLEY,74.1,65.0,65.0,100.0,51.0,93.0
2016,HOCKLEY,105.4,52.0,52.0,99.0,38.0,93.0
2015,HOCKLEY,120.6,56.0,2.0,100.0,20.0,83.0
2014,HOCKLEY,130.5,64.0,64.0,100.0,100.0,97.0
2013,HOCKLEY,154.0,69.0,69.0,98.0,98.0,95.0
2025,LAMB,63.6,74.0,74.0,97.0,55.0,93.0
2024,LAMB,101.6,71.0,3.0,100.0,57.0,92.0
2020,LAMB,137.6,67.0,67.0,98.0,50.0,96.0
2019,LAMB,127.3,65.0,65.0,100.0,51.0,93.0
2017,LAMB,163.2,71.0,71.0,100.0,45.0,96.0
2016,LAMB,119.7,52.0,52.0,99.0,38.0,93.0
2015,LAMB,148.1,56.0,2.0,100.0,20.0,83.0
2014,LAMB,177.0,64.0,64.0,100.0,100.0,97.0
2013,LAMB,190.4,69.0,69.0,98.0,98.0,95.0
2012,LAMB,161.2,70.0,70.0,70.0,70.0,95.0
2009,LAMB,184.2,74.0,74.0,100.0,100.0,98.0
2008,LAMB,172.0,66.0,66.0,99.0,99.0,97.0
2007,LAMB,204.0,70.0,70.0,70.0,70.0,98.0
2006,LAMB,166.0,80.0,80.0,80.0,80.0,99.0
2005,LAMB,186.3,72.0,72.0,72.0,72.0,95.0
2004,LAMB,197.3,70.0,70.0,70.0,70.0,98.0
2003,LAMB,138.5,73.0,73.0,100.0,100.0,99.0
2002,LAMB,157.4,75.0,75.0,100.0,100.0,99.0
2001,LAMB,153.4,69.0,69.0,69.0,69.0,98.0
2000,LAMB,167.6,80.0,80.0,80.0,80.0,97.0
2015,LUBBOCK,137.2,56.0,2.0,100.0,20.0,83.0
2011,LUBBOCK,151.5,66.0,66.0,100.0,100.0,98.0
2025,LYNN,134.2,74.0,74.0,97.0,55.0,93.0
2020,LYNN,67.6,67.0,67.0,98.0,50.0,96.0
2019,LYNN,128.8,65.0,65.0,100.0,51.0,93.0
2016,LYNN,106.0,52.0,52.0,99.0,38.0,93.0
2015,TERRY,99.1,56.0,2.0,100.0,20.0,83.0
2005,TERRY,121.0,72.0,72.0,72.0,72.0,95.0
2004,TERRY,115.8,70.0,70.0,70.0,70.0,98.0
2017,OTHER (COMBINED) COUNTIES,136.5,71.0,71.0,100.0,45.0,96.0
2014,OTHER (COMBINED) COUNTIES,190.7,64.0,64.0,100.0,100.0,97.0
2013,OTHER (COMBINED) COUNTIES,169.4,69.0,69.0,98.0,98.0,95.0
2011,OTHER (COMBINED) COUNTIES,84.9,66.0,66.0,100.0,100.0,98.0
2010,OTHER (COMBINED) COUNTIES,144.4,61.0,61.0,61.0,61.0,97.0
2007,OTHER (COMBINED) COUNTIES,145.0,70.0,70.0,70.0,70.0,98.0
2006,OTHER (COMBINED) COUNTIES,106.0,80.0,80.0,80.0,80.0,99.0
2005,OTHER (COMBINED) COUNTIES,138.0,72.0,72.0,72.0,72.0,95.0
2004,OTHER (COMBINED) COUNTIES,130.0,70.0,70.0,70.0,70.0,98.0
2003,OTHER (COMBINED) COUNTIES,156.9,73.0,73.0,100.0,100.0,99.0
2002,OTHER (COMBINED) COUNTIES,67.3,75.0,75.0,100.0,100.0,99.0
2001,OTHER (COMBINED) COUNTIES,62.5,69.0,69.0,69.0,69.0,98.0
2000,OTHER (COMBINED) COUNTIES,96.9,80.0,80.0,80.0,80.0,97.0
2013,DONLEY,221.0,69.0,69.0,98.0,98.0,95.0
2010,DONLEY,210.6,61.0,61.0,61.0,61.0,97.0
2007,DONLEY,194.0,70.0,70.0,70.0,70.0,98.0
2006,DONLEY,155.0,80.0,80.0,80.0,80.0,99.0
2005,DONLEY,141.8,72.0,72.0,72.0,72.0,95.0
2004,DONLEY,204.2,70.0,70.0,70.0,70.0,98.0
2002,DONLEY,85.6,75.0,75.0,100.0,100.0,99.0
2000,DONLEY,130.8,80.0,80.0,80.0,80.0,97.0
2004,WHEELER,204.0,70.0,70.0,70.0,70.0,98.0
2024,WICHITA,58.8,71.0,3.0,100.0,57.0,92.0
2007,WICHITA,50.0,70.0,70.0,70.0,70.0,98.0
2005,WICHITA,93.3,72.0,72.0,72.0,72.0,95.0
2004,WICHITA,92.9,70.0,70.0,70.0,70.0,98.0
2003,WICHITA,63.6,73.0,73.0,100.0,100.0,99.0
2002,WICHITA,59.0,75.0,75.0,100.0,100.0,99.0
2001,WICHITA,54.2,69.0,69.0,69.0,69.0,98.0
2025,WILBARGER,57.2,74.0,74.0,97.0,55.0,93.0
2007,WILBARGER,59.0,70.0,70.0,70.0,70.0,98.0
2005,WILBARGER,97.0,72.0,72.0,72.0,72.0,95.0
2004,WILBARGER,116.7,70.0,70.0,70.0,70.0,98.0
2003,WILBARGER,71.5,73.0,73.0,100.0,100.0,99.0
2019,OTHER (COMBINED) COUNTIES,79.1,65.0,65.0,100.0,51.0,93.0
2018,OTHER (COMBINED) COUNTIES,66.3,70.0,70.0,96.0,43.0,90.0
2017,OTHER (COMBINED) COUNTIES,130.1,71.0,71.0,100.0,45.0,96.0
2016,OTHER (COMBINED) COUNTIES,66.2,52.0,52.0,99.0,38.0,93.0
2015,OTHER (COMBINED) COUNTIES,57.3,56.0,2.0,100.0,20.0,83.0
2014,OTHER (COMBINED) COUNTIES,146.0,64.0,64.0,100.0,100.0,97.0
2012,OTHER (COMBINED) COUNTIES,56.4,70.0,70.0,70.0,70.0,95.0
2005,OTHER (COMBINED) COUNTIES,115.0,72.0,72.0,72.0,72.0,95.0
2021,COLEMAN,52.4,66.0,3.0,3.0,50.0,95.0
2020,COLEMAN,28.0,67.0,67.0,98.0,50.0,96.0
2019,COLEMAN,63.2,65.0,65.0,100.0,51.0,93.0
2017,COLEMAN,100.5,71.0,71.0,100.0,45.0,96.0
2012,RUNNELS,30.3,70.0,70.0,70.0,70.0,95.0
2014,OTHER (COMBINED) COUNTIES,104.1,64.0,64.0,100.0,100.0,97.0
2007,OTHER (COMBINED) COUNTIES,93.0,70.0,70.0,70.0,70.0,98.0
2006,OTHER (COMBINED) COUNTIES,137.0,80.0,80.0,80.0,80.0,99.0
2004,OTHER (COMBINED) COUNTIES,60.0,70.0,70.0,70.0,70.0,98.0
2003,OTHER (COMBINED) COUNTIES,92.5,73.0,73.0,100.0,100.0,99.0
2002,OTHER (COMBINED) COUNTIES,100.0,75.0,75.0,100.0,100.0,99.0
2001,OTHER (COMBINED) COUNTIES,86.0,69.0,69.0,69.0,69.0,98.0
2000,OTHER (COMBINED) COUNTIES,78.5,80.0,80.0,80.0,80.0,97.0
2006,COMANCHE,165.0,80.0,80.0,80.0,80.0,99.0
2004,COMANCHE,45.4,70.0,70.0,70.0,70.0,98.0
2003,COMANCHE,141.2,73.0,73.0,100.0,100.0,99.0
2002,COMANCHE,58.0,75.0,75.0,100.0,100.0,99.0
2001,COMANCHE,56.7,69.0,69.0,69.0,69.0,98.0
2000,COMANCHE,116.3,80.0,80.0,80.0,80.0,97.0
2006,EASTLAND,128.0,80.0,80.0,80.0,80.0,99.0
2006,ERATH,155.0,80.0,80.0,80.0,80.0,99.0
2003,ERATH,108.3,73.0,73.0,100.0,100.0,99.0
2002,ERATH,55.0,75.0,75.0,100.0,100.0,99.0
2001,ERATH,45.0,69.0,69.0,69.0,69.0,98.0
2000,ERATH,56.4,80.0,80.0,80.0,80.0,97.0
2006,WISE,60.0,80.0,80.0,80.0,80.0,99.0
2004,WISE,60.0,70.0,70.0,70.0,70.0,98.0
2019,OTHER (COMBINED) COUNTIES,99.9,65.0,65.0,100.0,51.0,93.0
2018,OTHER (COMBINED) COUNTIES,62.3,70.0,70.0,96.0,43.0,90.0
2017,OTHER (COMBINED) COUNTIES,105.4,71.0,71.0,100.0,45.0,96.0
2016,OTHER (COMBINED) COUNTIES,70.9,52.0,52.0,99.0,38.0,93.0
2015,OTHER (COMBINED) COUNTIES,67.6,56.0,2.0,100.0,20.0,83.0
2014,OTHER (COMBINED) COUNTIES,111.4,64.0,64.0,100.0,100.0,97.0
2013,OTHER (COMBINED) COUNTIES,102.7,69.0,69.0,98.0,98.0,95.0
2012,OTHER (COMBINED) COUNTIES,31.5,70.0,70.0,70.0,70.0,95.0
2011,OTHER (COMBINED) COUNTIES,35.2,66.0,66.0,100.0,100.0,98.0
2010,OTHER (COMBINED) COUNTIES,51.7,61.0,61.0,61.0,61.0,97.0
2009,OTHER (COMBINED) COUNTIES,41.4,74.0,74.0,100.0,100.0,98.0
2008,OTHER (COMBINED) COUNTIES,66.0,66.0,66.0,99.0,99.0,97.0
2007,OTHER (COMBINED) COUNTIES,64.0,70.0,70.0,70.0,70.0,98.0
2006,OTHER (COMBINED) COUNTIES,49.0,80.0,80.0,80.0,80.0,99.0
2004,OTHER (COMBINED) COUNTIES,71.5,70.0,70.0,70.0,70.0,98.0
2003,OTHER (COMBINED) COUNTIES,85.7,73.0,73.0,100.0,100.0,99.0
2002,OTHER (COMBINED) COUNTIES,75.0,75.0,75.0,100.0,100.0,99.0
2001,OTHER (COMBINED) COUNTIES,76.7,69.0,69.0,69.0,69.0,98.0
2000,OTHER (COMBINED) COUNTIES,90.0,80.0,80.0,80.0,80.0,97.0
2025,BELL,160.2,74.0,74.0,97.0,55.0,93.0
2024,BELL,54.8,71.0,3.0,100.0,57.0,92.0
2023,BELL,102.3,74.0,5.0,100.0,52.0,92.0
2022,BELL,59.2,69.0,5.0,99.0,51.0,94.0
2021,BELL,109.1,66.0,3.0,3.0,50.0,95.0
2020,BELL,94.2,67.0,67.0,98.0,50.0,96.0
2019,BELL,105.8,65.0,65.0,100.0,51.0,93.0
2018,BELL,56.4,70.0,70.0,96.0,43.0,90.0
2017,BELL,103.5,71.0,71.0,100.0,45.0,96.0
2016,BELL,60.6,52.0,52.0,99.0,38.0,93.0
2015,BELL,63.2,56.0,2.0,100.0,20.0,83.0
2014,BELL,113.2,64.0,64.0,100.0,100.0,97.0
2013,BELL,94.6,69.0,69.0,98.0,98.0,95.0
2012,BELL,81.2,70.0,70.0,70.0,70.0,95.0
2011,BELL,33.0,66.0,66.0,100.0,100.0,98.0
2010,BELL,79.6,61.0,61.0,61.0,61.0,97.0
2009,BELL,52.5,74.0,74.0,100.0,100.0,98.0
2008,BELL,63.0,66.0,66.0,99.0,99.0,97.0
2007,BELL,87.0,70.0,70.0,70.0,70.0,98.0
2006,BELL,83.0,80.0,80.0,80.0,80.0,99.0
2005,BELL,64.0,72.0,72.0,72.0,72.0,95.0
2004,BELL,91.6,70.0,70.0,70.0,70.0,98.0
2003,BELL,70.1,73.0,73.0,100.0,100.0,99.0
2002,BELL,68.9,75.0,75.0,100.0,100.0,99.0
2001,BELL,74.5,69.0,69.0,69.0,69.0,98.0
2000,BELL,92.0,80.0,80.0,80.0,80.0,97.0
2010,BOSQUE,35.0,61.0,61.0,61.0,61.0,97.0
2005,BOSQUE,57.3,72.0,72.0,72.0,72.0,95.0
2003,BOSQUE,104.7,73.0,73.0,100.0,100.0,99.0
2002,BOSQUE,142.3,75.0,75.0,100.0,100.0,99.0
2025,COLLIN,100.8,74.0,74.0,97.0,55.0,93.0
2024,COLLIN,52.0,71.0,3.0,100.0,57.0,92.0
2022,COLLIN,61.1,69.0,5.0,99.0,51.0,94.0
2021,COLLIN,54.4,66.0,3.0,3.0,50.0,95.0
2020,COLLIN,89.6,67.0,67.0,98.0,50.0,96.0
2019,COLLIN,90.4,65.0,65.0,100.0,51.0,93.0
2018,COLLIN,62.3,70.0,70.0,96.0,43.0,90.0
2017,COLLIN,110.6,71.0,71.0,100.0,45.0,96.0
2016,COLLIN,75.0,52.0,52.0,99.0,38.0,93.0
2015,COLLIN,38.8,56.0,2.0,100.0,20.0,83.0
2014,COLLIN,120.8,64.0,64.0,100.0,100.0,97.0
2013,COLLIN,91.0,69.0,69.0,98.0,98.0,95.0
2012,COLLIN,87.3,70.0,70.0,70.0,70.0,95.0
2011,COLLIN,59.4,66.0,66.0,100.0,100.0,98.0
2010,COLLIN,58.0,61.0,61.0,61.0,61.0,97.0
2008,COLLIN,49.0,66.0,66.0,99.0,99.0,97.0
2007,COLLIN,110.0,70.0,70.0,70.0,70.0,98.0
2006,COLLIN,43.0,80.0,80.0,80.0,80.0,99.0
2005,COLLIN,60.4,72.0,72.0,72.0,72.0,95.0
2004,COLLIN,98.7,70.0,70.0,70.0,70.0,98.0
2003,COLLIN,116.1,73.0,73.0,100.0,100.0,99.0
2002,COLLIN,83.7,75.0,75.0,100.0,100.0,99.0
2001,COLLIN,70.9,69.0,69.0,69.0,69.0,98.0
2000,COLLIN,100.4,80.0,80.0,80.0,80.0,97.0
2025,COOKE,116.3,74.0,74.0,97.0,55.0,93.0
2024,COOKE,73.7,71.0,3.0,100.0,57.0,92.0
2023,COOKE,83.8,74.0,5.0,100.0,52.0,92.0
2022,COOKE,64.1,69.0,5.0,99.0,51.0,94.0
2020,COOKE,77.0,67.0,67.0,98.0,50.0,96.0
2019,COOKE,118.5,65.0,65.0,100.0,51.0,93.0
2015,COOKE,64.4,56.0,2.0,100.0,20.0,83.0
2014,COOKE,75.0,64.0,64.0,100.0,100.0,97.0
2012,COOKE,98.3,70.0,70.0,70.0,70.0,95.0
2010,COOKE,70.7,61.0,61.0,61.0,61.0,97.0
2007,COOKE,121.0,70.0,70.0,70.0,70.0,98.0
2006,COOKE,45.0,80.0,80.0,80.0,80.0,99.0
2005,COOKE,60.3,72.0,72.0,72.0,72.0,95.0
2004,COOKE,104.0,70.0,70.0,70.0,70.0,98.0
2003,COOKE,95.7,73.0,73.0,100.0,100.0,99.0
2002,COOKE,100.0,75.0,75.0,100.0,100.0,99.0
2001,COOKE,61.0,69.0,69.0,69.0,69.0,98.0
2000,COOKE,90.0,80.0,80.0,80.0,80.0,97.0
2022,CORYELL,35.0,69.0,5.0,99.0,51.0,94.0
2014,CORYELL,101.7,64.0,64.0,100.0,100.0,97.0
2012,CORYELL,69.4,70.0,70.0,70.0,70.0,95.0
2011,CORYELL,54.1,66.0,66.0,100.0,100.0,98.0
2009,CORYELL,35.2,74.0,74.0,100.0,100.0,98.0
2008,CORYELL,42.0,66.0,66.0,99.0,99.0,97.0
2007,CORYELL,72.0,70.0,70.0,70.0,70.0,98.0
2006,CORYELL,45.0,80.0,80.0,80.0,80.0,99.0
2005,CORYELL,58.5,72.0,72.0,72.0,72.0,95.0
2004,CORYELL,83.7,70.0,70.0,70.0,70.0,98.0
2003,CORYELL,89.6,73.0,73.0,100.0,100.0,99.0
2002,CORYELL,47.9,75.0,75.0,100.0,100.0,99.0
2001,CORYELL,40.0,69.0,69.0,69.0,69.0,98.0
2000,CORYELL,88.1,80.0,80.0,80.0,80.0,97.0
2009,DALLAS,95.4,74.0,74.0,100.0,100.0,98.0
2006,DALLAS,50.0,80.0,80.0,80.0,80.0,99.0
2005,DALLAS,44.5,72.0,72.0,72.0,72.0,95.0
2004,DALLAS,86.0,70.0,70.0,70.0,70.0,98.0
2003,DALLAS,98.4,73.0,73.0,100.0,100.0,99.0
2002,DALLAS,76.3,75.0,75.0,100.0,100.0,99.0
2001,DALLAS,40.0,69.0,69.0,69.0,69.0,98.0
2000,DALLAS,80.7,80.0,80.0,80.0,80.0,97.0
2023,DELTA,115.5,74.0,5.0,100.0,52.0,92.0
2018,DELTA,70.8,70.0,70.0,96.0,43.0,90.0
2006,DELTA,65.0,80.0,80.0,80.0,80.0,99.0
2005,DELTA,76.2,72.0,72.0,72.0,72.0,95.0
2004,DELTA,96.8,70.0,70.0,70.0,70.0,98.0
2003,DELTA,101.3,73.0,73.0,100.0,100.0,99.0
2002,DELTA,74.5,75.0,75.0,100.0,100.0,99.0
2001,DELTA,90.0,69.0,69.0,69.0,69.0,98.0
2000,DELTA,101.4,80.0,80.0,80.0,80.0,97.0
2024,DENTON,60.8,71.0,3.0,100.0,57.0,92.0
2018,DENTON,42.7,70.0,70.0,96.0,43.0,90.0
2014,DENTON,78.3,64.0,64.0,100.0,100.0,97.0
2013,DENTON,52.2,69.0,69.0,98.0,98.0,95.0
2012,DENTON,36.4,70.0,70.0,70.0,70.0,95.0
2006,DENTON,27.0,80.0,80.0,80.0,80.0,99.0
2005,DENTON,38.9,72.0,72.0,72.0,72.0,95.0
2004,DENTON,79.8,70.0,70.0,70.0,70.0,98.0
2003,DENTON,74.5,73.0,73.0,100.0,100.0,99.0
2002,DENTON,76.2,75.0,75.0,100.0,100.0,99.0
2000,DENTON,127.1,80.0,80.0,80.0,80.0,97.0
2025,ELLIS,94.7,74.0,74.0,97.0,55.0,93.0
2024,ELLIS,74.8,71.0,3.0,100.0,57.0,92.0
2023,ELLIS,92.4,74.0,5.0,100.0,52.0,92.0
2022,ELLIS,59.7,69.0,5.0,99.0,51.0,94.0
2021,ELLIS,70.8,66.0,3.0,3.0,50.0,95.0
2020,ELLIS,96.7,67.0,67.0,98.0,50.0,96.0
2019,ELLIS,81.0,65.0,65.0,100.0,51.0,93.0
2018,ELLIS,71.9,70.0,70.0,96.0,43.0,90.0
2017,ELLIS,119.2,71.0,71.0,100.0,45.0,96.0
2016,ELLIS,80.4,52.0,52.0,99.0,38.0,93.0
2015,ELLIS,54.9,56.0,2.0,100.0,20.0,83.0
2014,ELLIS,107.7,64.0,64.0,100.0,100.0,97.0
2013,ELLIS,86.2,69.0,69.0,98.0,98.0,95.0
2012,ELLIS,97.9,70.0,70.0,70.0,70.0,95.0
2011,ELLIS,49.2,66.0,66.0,100.0,100.0,98.0
2010,ELLIS,69.1,61.0,61.0,61.0,61.0,97.0
2009,ELLIS,61.9,74.0,74.0,100.0,100.0,98.0
2008,ELLIS,55.0,66.0,66.0,99.0,99.0,97.0
2007,ELLIS,108.0,70.0,70.0,70.0,70.0,98.0
2006,ELLIS,46.0,80.0,80.0,80.0,80.0,99.0
2005,ELLIS,67.6,72.0,72.0,72.0,72.0,95.0
2004,ELLIS,95.3,70.0,70.0,70.0,70.0,98.0
2003,ELLIS,97.0,73.0,73.0,100.0,100.0,99.0
2002,ELLIS,82.5,75.0,75.0,100.0,100.0,99.0
2001,ELLIS,72.7,69.0,69.0,69.0,69.0,98.0
2000,ELLIS,92.3,80.0,80.0,80.0,80.0,97.0
2025,FALLS,149.6,74.0,74.0,97.0,55.0,93.0
2024,FALLS,89.3,71.0,3.0,100.0,57.0,92.0
2023,FALLS,115.9,74.0,5.0,100.0,52.0,92.0
2022,FALLS,73.4,69.0,5.0,99.0,51.0,94.0
2021,FALLS,94.3,66.0,3.0,3.0,50.0,95.0
2020,FALLS,87.7,67.0,67.0,98.0,50.0,96.0
2017,FALLS,107.1,71.0,71.0,100.0,45.0,96.0
2016,FALLS,62.1,52.0,52.0,99.0,38.0,93.0
2015,FALLS,73.5,56.0,2.0,100.0,20.0,83.0
2014,FALLS,118.0,64.0,64.0,100.0,100.0,97.0
2013,FALLS,94.8,69.0,69.0,98.0,98.0,95.0
2012,FALLS,94.9,70.0,70.0,70.0,70.0,95.0
2011,FALLS,45.4,66.0,66.0,100.0,100.0,98.0
2010,FALLS,86.2,61.0,61.0,61.0,61.0,97.0
2009,FALLS,57.0,74.0,74.0,100.0,100.0,98.0
2008,FALLS,69.0,66.0,66.0,99.0,99.0,97.0
2007,FALLS,92.0,70.0,70.0,70.0,70.0,98.0
2006,FALLS,85.0,80.0,80.0,80.0,80.0,99.0
2005,FALLS,71.1,72.0,72.0,72.0,72.0,95.0
2004,FALLS,98.7,70.0,70.0,70.0,70.0,98.0
2003,FALLS,91.5,73.0,73.0,100.0,100.0,99.0
2002,FALLS,97.6,75.0,75.0,100.0,100.0,99.0
2001,FALLS,74.3,69.0,69.0,69.0,69.0,98.0
2000,FALLS,85.5,80.0,80.0,80.0,80.0,97.0
2025,FANNIN,102.6,74.0,74.0,97.0,55.0,93.0
2024,FANNIN,58.8,71.0,3.0,100.0,57.0,92.0
2020,FANNIN,88.3,67.0,67.0,98.0,50.0,96.0
2019,FANNIN,88.8,65.0,65.0,100.0,51.0,93.0
2018,FANNIN,67.9,70.0,70.0,96.0,43.0,90.0
2017,FANNIN,133.0,71.0,71.0,100.0,45.0,96.0
2016,FANNIN,82.1,52.0,52.0,99.0,38.0,93.0
2015,FANNIN,73.7,56.0,2.0,100.0,20.0,83.0
2014,FANNIN,118.5,64.0,64.0,100.0,100.0,97.0
2012,FANNIN,90.7,70.0,70.0,70.0,70.0,95.0
2011,FANNIN,52.6,66.0,66.0,100.0,100.0,98.0
2010,FANNIN,53.5,61.0,61.0,61.0,61.0,97.0
2009,FANNIN,45.0,74.0,74.0,100.0,100.0,98.0
2008,FANNIN,82.0,66.0,66.0,99.0,99.0,97.0
2007,FANNIN,106.0,70.0,70.0,70.0,70.0,98.0
2006,FANNIN,62.0,80.0,80.0,80.0,80.0,99.0
2005,FANNIN,74.6,72.0,72.0,72.0,72.0,95.0
2004,FANNIN,105.7,70.0,70.0,70.0,70.0,98.0
2003,FANNIN,93.9,73.0,73.0,100.0,100.0,99.0
2002,FANNIN,80.9,75.0,75.0,100.0,100.0,99.0
2001,FANNIN,73.2,69.0,69.0,69.0,69.0,98.0
2000,FANNIN,78.8,80.0,80.0,80.0,80.0,97.0
2025,GRAYSON,95.0,74.0,74.0,97.0,55.0,93.0
2023,GRAYSON,102.3,74.0,5.0,100.0,52.0,92.0
2022,GRAYSON,55.0,69.0,5.0,99.0,51.0,94.0
2021,GRAYSON,66.2,66.0,3.0,3.0,50.0,95.0
2020,GRAYSON,72.6,67.0,67.0,98.0,50.0,96.0
2019,GRAYSON,106.7,65.0,65.0,100.0,51.0,93.0
2018,GRAYSON,65.0,70.0,70.0,96.0,43.0,90.0
2017,GRAYSON,93.2,71.0,71.0,100.0,45.0,96.0
2016,GRAYSON,62.1,52.0,52.0,99.0,38.0,93.0
2015,GRAYSON,51.5,56.0,2.0,100.0,20.0,83.0
2014,GRAYSON,98.7,64.0,64.0,100.0,100.0,97.0
2013,GRAYSON,92.1,69.0,69.0,98.0,98.0,95.0
2012,GRAYSON,89.4,70.0,70.0,70.0,70.0,95.0
2011,GRAYSON,52.1,66.0,66.0,100.0,100.0,98.0
2010,GRAYSON,52.1,61.0,61.0,61.0,61.0,97.0
2009,GRAYSON,63.2,74.0,74.0,100.0,100.0,98.0
2008,GRAYSON,75.0,66.0,66.0,99.0,99.0,97.0
2007,GRAYSON,117.0,70.0,70.0,70.0,70.0,98.0
2006,GRAYSON,43.0,80.0,80.0,80.0,80.0,99.0
2005,GRAYSON,62.2,72.0,72.0,72.0,72.0,95.0
2004,GRAYSON,105.6,70.0,70.0,70.0,70.0,98.0
2003,GRAYSON,95.3,73.0,73.0,100.0,100.0,99.0
2002,GRAYSON,84.6,75.0,75.0,100.0,100.0,99.0
2001,GRAYSON,64.3,69.0,69.0,69.0,69.0,98.0
2000,GRAYSON,89.8,80.0,80.0,80.0,80.0,97.0
2010,HAMILTON,91.0,61.0,61.0,61.0,61.0,97.0
2006,HAMILTON,48.0,80.0,80.0,80.0,80.0,99.0
2005,HAMILTON,95.3,72.0,72.0,72.0,72.0,95.0
2004,HAMILTON,137.5,70.0,70.0,70.0,70.0,98.0
2025,HILL,127.9,74.0,74.0,97.0,55.0,93.0
2024,HILL,80.9,71.0,3.0,100.0,57.0,92.0
2023,HILL,120.7,74.0,5.0,100.0,52.0,92.0
2022,HILL,65.1,69.0,5.0,99.0,51.0,94.0
2021,HILL,97.2,66.0,3.0,3.0,50.0,95.0
2020,HILL,100.3,67.0,67.0,98.0,50.0,96.0
2019,HILL,107.7,65.0,65.0,100.0,51.0,93.0
2018,HILL,62.0,70.0,70.0,96.0,43.0,90.0
2017,HILL,107.0,71.0,71.0,100.0,45.0,96.0
2016,HILL,80.4,52.0,52.0,99.0,38.0,93.0
2015,HILL,64.5,56.0,2.0,100.0,20.0,83.0
2014,HILL,113.0,64.0,64.0,100.0,100.0,97.0
2013,HILL,97.2,69.0,69.0,98.0,98.0,95.0
2012,HILL,101.9,70.0,70.0,70.0,70.0,95.0
2011,HILL,46.0,66.0,66.0,100.0,100.0,98.0
2010,HILL,76.6,61.0,61.0,61.0,61.0,97.0
2009,HILL,50.2,74.0,74.0,100.0,100.0,98.0
2008,HILL,55.0,66.0,66.0,99.0,99.0,97.0
2007,HILL,95.0,70.0,70.0,70.0,70.0,98.0
2006,HILL,41.0,80.0,80.0,80.0,80.0,99.0
2005,HILL,73.4,72.0,72.0,72.0,72.0,95.0
2004,HILL,100.5,70.0,70.0,70.0,70.0,98.0
2003,HILL,100.0,73.0,73.0,100.0,100.0,99.0
2002,HILL,92.8,75.0,75.0,100.0,100.0,99.0
2001,HILL,67.0,69.0,69.0,69.0,69.0,98.0
2000,HILL,102.1,80.0,80.0,80.0,80.0,97.0
2024,HUNT,49.4,71.0,3.0,100.0,57.0,92.0
2021,HUNT,49.8,66.0,3.0,3.0,50.0,95.0
2019,HUNT,88.9,65.0,65.0,100.0,51.0,93.0
2018,HUNT,65.1,70.0,70.0,96.0,43.0,90.0
