Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2009,DALLAM,198.6,74.0,74.0,100.0,100.0,98.0
2008,DALLAM,175.0,66.0,66.0,99.0,99.0,97.0
2007,DALLAM,197.0,70.0,70.0,70.0,70.0,98.0
2006,DALLAM,182.0,80.0,80.0,80.0,80.0,99.0
2005,DALLAM,177.5,72.0,72.0,72.0,72.0,95.0
2004,DALLAM,221.9,70.0,70.0,70.0,70.0,98.0
2003,DALLAM,194.7,73.0,73.0,100.0,100.0,99.0
2002,DALLAM,196.1,75.0,75.0,100.0,100.0,99.0
2001,DALLAM,189.3,69.0,69.0,69.0,69.0,98.0
2000,DALLAM,166.2,80.0,80.0,80.0,80.0,97.0
2025,DEAF SMITH,211.2,74.0,74.0,97.0,55.0,93.0
2024,DEAF SMITH,142.0,71.0,3.0,100.0,57.0,92.0
2023,DEAF SMITH,173.2,74.0,5.0,100.0,52.0,92.0
2022,DEAF SMITH,168.0,69.0,5.0,99.0,51.0,94.0
2021,DEAF SMITH,194.7,66.0,3.0,3.0,50.0,95.0
2020,DEAF SMITH,155.2,67.0,67.0,98.0,50.0,96.0
2019,DEAF SMITH,169.7,65.0,65.0,100.0,51.0,93.0
2017,DEAF SMITH,203.3,71.0,71.0,100.0,45.0,96.0
2016,DEAF SMITH,165.0,52.0,52.0,99.0,38.0,93.0
2015,DEAF SMITH,163.7,56.0,2.0,100.0,20.0,83.0
2014,DEAF SMITH,209.3,64.0,64.0,100.0,100.0,97.0
2013,DEAF SMITH,198.5,69.0,69.0,98.0,98.0,95.0
2012,DEAF SMITH,151.1,70.0,70.0,70.0,70.0,95.0
2011,DEAF SMITH,105.1,66.0,66.0,100.0,100.0,98.0
2010,DEAF SMITH,202.2,61.0,61.0,61.0,61.0,97.0
2009,DEAF SMITH,180.8,74.0,74.0,100.0,100.0,98.0
2008,DEAF SMITH,178.0,66.0,66.0,99.0,99.0,97.0
2007,DEAF SMITH,196.0,70.0,70.0,70.0,70.0,98.0
2006,DEAF SMITH,162.0,80.0,80.0,80.0,80.0,99.0
2005,DEAF SMITH,159.9,72.0,72.0,72.0,72.0,95.0
2004,DEAF SMITH,188.4,70.0,70.0,70.0,70.0,98.0
2003,DEAF SMITH,166.7,73.0,73.0,100.0,100.0,99.0
2002,DEAF SMITH,174.9,75.0,75.0,100.0,100.0,99.0
2001,DEAF SMITH,128.1,69.0,69.0,69.0,69.0,98.0
2000,DEAF SMITH,166.1,80.0,80.0,80.0,80.0,97.0
2025,FLOYD,161.7,74.0,74.0,97.0,55.0,93.0
2024,FLOYD,99.6,71.0,3.0,100.0,57.0,92.0
2019,FLOYD,130.6,65.0,65.0,100.0,51.0,93.0
2018,FLOYD,144.5,70.0,70.0,96.0,43.0,90.0
2017,FLOYD,183.5,71.0,71.0,100.0,45.0,96.0
2016,FLOYD,152.2,52.0,52.0,99.0,38.0,93.0
2015,FLOYD,148.5,56.0,2.0,100.0,20.0,83.0
2014,FLOYD,165.7,64.0,64.0,100.0,100.0,97.0
2013,FLOYD,195.3,69.0,69.0,98.0,98.0,95.0
2012,FLOYD,144.6,70.0,70.0,70.0,70.0,95.0
2011,FLOYD,114.1,66.0,66.0,100.0,100.0,98.0
2010,FLOYD,188.7,61.0,61.0,61.0,61.0,97.0
2009,FLOYD,174.8,74.0,74.0,100.0,100.0,98.0
2008,FLOYD,146.0,66.0,66.0,99.0,99.0,97.0
2007,FLOYD,176.0,70.0,70.0,70.0,70.0,98.0
2006,FLOYD,124.0,80.0,80.0,80.0,80.0,99.0
2005,FLOYD,162.3,72.0,72.0,72.0,72.0,95.0
2004,FLOYD,152.4,70.0,70.0,70.0,70.0,98.0
2003,FLOYD,174.6,73.0,73.0,100.0,100.0,99.0
2002,FLOYD,189.8,75.0,75.0,100.0,100.0,99.0
2001,FLOYD,124.8,69.0,69.0,69.0,69.0,98.0
2000,FLOYD,157.7,80.0,80.0,80.0,80.0,97.0
2025,GRAY,154.3,74.0,74.0,97.0,55.0,93.0
2024,GRAY,215.0,71.0,3.0,100.0,57.0,92.0
2022,GRAY,165.0,69.0,5.0,99.0,51.0,94.0
2021,GRAY,213.7,66.0,3.0,3.0,50.0,95.0
2020,GRAY,179.1,67.0,67.0,98.0,50.0,96.0
2019,GRAY,141.1,65.0,65.0,100.0,51.0,93.0
2018,GRAY,157.1,70.0,70.0,96.0,43.0,90.0
2017,GRAY,201.6,71.0,71.0,100.0,45.0,96.0
2015,GRAY,193.5,56.0,2.0,100.0,20.0,83.0
2014,GRAY,212.1,64.0,64.0,100.0,100.0,97.0
2012,GRAY,197.3,70.0,70.0,70.0,70.0,95.0
2010,GRAY,195.8,61.0,61.0,61.0,61.0,97.0
2009,GRAY,178.4,74.0,74.0,100.0,100.0,98.0
2007,GRAY,206.0,70.0,70.0,70.0,70.0,98.0
2006,GRAY,174.0,80.0,80.0,80.0,80.0,99.0
2005,GRAY,176.8,72.0,72.0,72.0,72.0,95.0
2004,GRAY,193.9,70.0,70.0,70.0,70.0,98.0
2003,GRAY,188.1,73.0,73.0,100.0,100.0,99.0
2002,GRAY,172.2,75.0,75.0,100.0,100.0,99.0
2001,GRAY,164.7,69.0,69.0,69.0,69.0,98.0
2000,GRAY,168.3,80.0,80.0,80.0,80.0,97.0
2023,HALE,119.0,74.0,5.0,100.0,52.0,92.0
2022,HALE,114.3,69.0,5.0,99.0,51.0,94.0
2021,HALE,143.3,66.0,3.0,3.0,50.0,95.0
2020,HALE,141.7,67.0,67.0,98.0,50.0,96.0
2018,HALE,139.7,70.0,70.0,96.0,43.0,90.0
2017,HALE,178.7,71.0,71.0,100.0,45.0,96.0
2016,HALE,137.6,52.0,52.0,99.0,38.0,93.0
2015,HALE,147.8,56.0,2.0,100.0,20.0,83.0
2014,HALE,184.4,64.0,64.0,100.0,100.0,97.0
2013,HALE,182.2,69.0,69.0,98.0,98.0,95.0
2012,HALE,172.6,70.0,70.0,70.0,70.0,95.0
2011,HALE,129.9,66.0,66.0,100.0,100.0,98.0
2010,HALE,191.8,61.0,61.0,61.0,61.0,97.0
2009,HALE,172.6,74.0,74.0,100.0,100.0,98.0
2008,HALE,166.0,66.0,66.0,99.0,99.0,97.0
2007,HALE,195.0,70.0,70.0,70.0,70.0,98.0
2006,HALE,149.0,80.0,80.0,80.0,80.0,99.0
2005,HALE,178.8,72.0,72.0,72.0,72.0,95.0
2004,HALE,190.3,70.0,70.0,70.0,70.0,98.0
2003,HALE,168.5,73.0,73.0,100.0,100.0,99.0
2002,HALE,177.7,75.0,75.0,100.0,100.0,99.0
2001,HALE,142.3,69.0,69.0,69.0,69.0,98.0
2000,HALE,159.5,80.0,80.0,80.0,80.0,97.0
2025,HANSFORD,224.1,74.0,74.0,97.0,55.0,93.0
2024,HANSFORD,204.5,71.0,3.0,100.0,57.0,92.0
2020,HANSFORD,205.9,67.0,67.0,98.0,50.0,96.0
2019,HANSFORD,182.4,65.0,65.0,100.0,51.0,93.0
2018,HANSFORD,200.9,70.0,70.0,96.0,43.0,90.0
2017,HANSFORD,205.1,71.0,71.0,100.0,45.0,96.0
2016,HANSFORD,202.9,52.0,52.0,99.0,38.0,93.0
2014,HANSFORD,212.7,64.0,64.0,100.0,100.0,97.0
2012,HANSFORD,177.4,70.0,70.0,70.0,70.0,95.0
2010,HANSFORD,218.6,61.0,61.0,61.0,61.0,97.0
2008,HANSFORD,211.0,66.0,66.0,99.0,99.0,97.0
2007,HANSFORD,195.0,70.0,70.0,70.0,70.0,98.0
2006,HANSFORD,184.0,80.0,80.0,80.0,80.0,99.0
2005,HANSFORD,189.9,72.0,72.0,72.0,72.0,95.0
2004,HANSFORD,208.5,70.0,70.0,70.0,70.0,98.0
2003,HANSFORD,198.7,73.0,73.0,100.0,100.0,99.0
2002,HANSFORD,215.9,75.0,75.0,100.0,100.0,99.0
2001,HANSFORD,161.0,69.0,69.0,69.0,69.0,98.0
