Value,year,county_name,state_alpha,short_desc,asd_desc
202.7,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
193.2,2015,ARMSTRONG,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
108.1,2015,BRISCOE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
204.6,2015,CARSON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
205.7,2015,CASTRO,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
213.7,2015,DALLAM,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
163.7,2015,DEAF SMITH,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
148.5,2015,FLOYD,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
193.5,2015,GRAY,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
147.8,2015,HALE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
217.6,2015,MOORE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
196.6,2015,OCHILTREE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
187.1,2015,OLDHAM,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
147.4,2015,PARMER,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
143.7,2015,RANDALL,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
219.4,2015,SHERMAN,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
155,2015,SWISHER,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
105.5,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN HIGH PLAINS
115.2,2015,COCHRAN,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN HIGH PLAINS
120.6,2015,HOCKLEY,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN HIGH PLAINS
148.1,2015,LAMB,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN HIGH PLAINS
137.2,2015,LUBBOCK,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN HIGH PLAINS
99.1,2015,TERRY,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN HIGH PLAINS
57.3,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHERN LOW PLAINS
67.6,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
63.2,2015,BELL,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
38.8,2015,COLLIN,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
64.4,2015,COOKE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
54.9,2015,ELLIS,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
73.5,2015,FALLS,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
73.7,2015,FANNIN,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
51.5,2015,GRAYSON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
64.5,2015,HILL,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
48.7,2015,JOHNSON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
64.9,2015,LAMAR,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
34.3,2015,LIMESTONE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
99.4,2015,MCLENNAN,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
71.6,2015,MILAM,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
58.2,2015,NAVARRO,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
69.5,2015,WILLIAMSON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
98,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EDWARDS PLATEAU
90.5,2015,GILLESPIE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EDWARDS PLATEAU
121.8,2015,UVALDE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EDWARDS PLATEAU
90.5,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
84.3,2015,BEE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
100.6,2015,BEXAR,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
96.1,2015,BURLESON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
111.9,2015,CALDWELL,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
115.4,2015,COLORADO,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
56,2015,DE WITT,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
77.8,2015,FAYETTE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
58.5,2015,GOLIAD,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
108.8,2015,GUADALUPE,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
73.8,2015,KARNES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
122.4,2015,MEDINA,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
50.5,2015,TRAVIS,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
101.4,2015,WILSON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL
64.9,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",COASTAL BEND
62.5,2015,NUECES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",COASTAL BEND
83.5,2015,SAN PATRICIO,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",COASTAL BEND
89.4,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER COAST
72.5,2015,CALHOUN,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER COAST
83.1,2015,JACKSON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER COAST
82.9,2015,MATAGORDA,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER COAST
73.5,2015,VICTORIA,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER COAST
103.3,2015,WHARTON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER COAST
105.5,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH TEXAS
60.9,2015,ATASCOSA,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH TEXAS
81.1,2015,JIM WELLS,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH TEXAS
87.6,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",LOWER VALLEY
97.7,2015,CAMERON,TX,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",LOWER VALLEY
208.3,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
208.6,2015,CASTRO,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
168.6,2015,DEAF SMITH,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
154.2,2015,HALE,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
187.1,2015,OLDHAM,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
161.3,2015,PARMER,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",NORTHERN HIGH PLAINS
91.9,2015,OTHER (COMBINED) COUNTIES,TX,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",BLACKLANDS
